index,Text,pos_tagged_words,new_languages,words_list,new_text,scores,compound,sentiment_vader
57076,this is why i hate anti-vaxxers vaccine cautious assholes. their shit advice can actually do real harm.,"[('this', 'DT'), ('is', 'VBZ'), ('why', 'WRB'), ('i', 'JJ'), ('hate', 'NN'), ('anti', 'NN'), ('baxters', 'NNS'), ('vaccine', 'VBP'), ('cautious', 'JJ'), ('assholes', 'NNS'), ('their', 'PRP$'), ('shit', 'JJ'), ('advice', 'NN'), ('can', 'MD'), ('actually', 'RB'), ('do', 'VB'), ('real', 'JJ'), ('harm', 'NN')]",ENGLISH,"['hate', 'anti_baxter', 'vaccine', 'cautious', 'asshole', 'shit', 'advice', 'actually', 'real', 'harm']",hate anti_baxter vaccine cautious asshole shit advice actually real harm,"{'neg': 0.593, 'neu': 0.407, 'pos': 0.0, 'compound': -0.9432}",-0.9432,negative
57088,"we wish you 'fast recovery""', even though, nation is happy when any those who were anti indian vaccine &amp; confused nation become corona positive. people who lost dear ones wish same them. hope - god give you chance improve nxt time.","[('we', 'PRP'), ('wish', 'VBP'), ('you', 'PRP'), ('fast', 'VBP'), ('recovery', 'NN'), ('even', 'RB'), ('though', 'IN'), ('nation', 'NN'), ('is', 'VBZ'), ('happy', 'JJ'), ('when', 'WRB'), ('any', 'DT'), ('those', 'DT'), ('who', 'WP'), ('we', 'PRP'), ('are', 'VBP'), ('anti', 'JJ'), ('indian', 'JJ'), ('vaccine', 'NN'), ('amp', 'NN'), ('confused', 'VBN'), ('nation', 'NN'), ('become', 'NN'), ('corona', 'JJ'), ('positive', 'JJ'), ('people', 'NNS'), ('who', 'WP'), ('lost', 'VBD'), ('dear', 'JJ'), ('ones', 'NNS'), ('wish', 'JJ'), ('same', 'JJ'), ('them', 'PRP'), ('hope', 'VBP'), ('god', 'RB'), ('give', 'VB'), ('you', 'PRP'), ('chance', 'NN'), ('improve', 'VB'), ('not', 'RB'), ('time', 'NN')]",ENGLISH,"['wish', 'fast', 'recovery', 'even', 'though', 'nation', 'happy', 'anti', 'indian', 'vaccine', 'amp', 'confused', 'nation', 'become', 'corona', 'positive', 'people', 'lose', 'dear', 'one', 'wish', 'hope', 'god', 'give', 'chance', 'improve', 'not', 'time']",wish fast recovery even though nation happy anti indian vaccine amp confused nation become corona positive people lose dear one wish hope god give chance improve not time,"{'neg': 0.115, 'neu': 0.466, 'pos': 0.419, 'compound': 0.9538}",0.9538,positive
57095,waste vaccine waste ventilators waste oxygen this is anti nationalist activity carried out by opposition &amp; depriving needy citizens,"[('waste', 'NN'), ('vaccine', 'NN'), ('waste', 'NN'), ('ventilators', 'NNS'), ('waste', 'VBP'), ('oxygen', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('anti', 'JJ'), ('nationalist', 'JJ'), ('activity', 'NN'), ('carried', 'VBD'), ('out', 'RP'), ('by', 'IN'), ('opposition', 'NN'), ('amp', 'NN'), ('depriving', 'VBG'), ('needy', 'JJ'), ('citizens', 'NNS')]",ENGLISH,"['waste', 'vaccine', 'waste', 'ventilator', 'waste', 'anti', 'nationalist', 'activity', 'carry', 'opposition', 'amp', 'deprive', 'needy', 'citizen']",waste vaccine waste ventilator waste anti nationalist activity carry opposition amp deprive needy citizen,"{'neg': 0.553, 'neu': 0.447, 'pos': 0.0, 'compound': -0.9337}",-0.9337,negative
57114,"just heard tv breaking news, nepal president writes russian president russian anti-covid vaccine support. finally. better late than never.","[('just', 'RB'), ('heard', 'VBN'), ('to', 'TO'), ('breaking', 'VBG'), ('news', 'NN'), ('nepal', 'JJ'), ('president', 'NN'), ('writes', 'VBZ'), ('russian', 'JJ'), ('president', 'NN'), ('russian', 'JJ'), ('anti', 'NN'), ('couid', 'NN'), ('vaccine', 'NN'), ('support', 'NN'), ('finally', 'RB'), ('better', 'RBR'), ('late', 'RB'), ('than', 'IN'), ('never', 'RB')]",ENGLISH,"['hear', 'break', 'news', 'nepal', 'president', 'write', 'russian', 'president', 'russian', 'anti', 'couid', 'vaccine', 'support', 'finally', 'well', 'late', 'never']",hear break news nepal president write russian president russian anti couid vaccine support finally well late never,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.6808}",0.6808,positive
57177,"bjp leaders are hoarding vaccines, life saving drugs &amp; ambulances. bjp is creating crisis market. this is against country, they are anti-national. 😡😡","[('bop', 'NN'), ('leaders', 'NNS'), ('are', 'VBP'), ('hoarding', 'VBG'), ('vaccines', 'NNS'), ('life', 'NN'), ('saving', 'VBG'), ('drugs', 'NNS'), ('amp', 'JJ'), ('ambulances', 'NNS'), ('bop', 'NN'), ('is', 'VBZ'), ('creating', 'VBG'), ('crisis', 'NN'), ('market', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('against', 'IN'), ('country', 'NN'), ('they', 'PRP'), ('are', 'VBP'), ('anti', 'JJ'), ('national', 'JJ')]",ENGLISH,"['bop', 'leader', 'hoard', 'vaccine', 'life_save', 'drug', 'amp', 'ambulance', 'bop', 'create', 'crisis', 'market', 'country', 'anti', 'national']",bop leader hoard vaccine life_save drug amp ambulance bop create crisis market country anti national,"{'neg': 0.15, 'neu': 0.769, 'pos': 0.081, 'compound': -0.4404}",-0.4404,negative
57208,honestly deep down i'm grateful that my parents tried their best raise me my 3 brothers right &amp; sent us school &amp; none us is antivaccine &amp; we also believe that covid-19 is real &amp; we don't spend too much time listening whatever bullshit shared whatsapp 🥺,"[('honestly', 'RB'), ('deep', 'JJ'), ('down', 'RP'), ('i', 'JJ'), ('am', 'VBP'), ('grateful', 'JJ'), ('that', 'IN'), ('my', 'PRP$'), ('parents', 'NNS'), ('tried', 'VBD'), ('their', 'PRP$'), ('best', 'JJS'), ('raise', 'NN'), ('me', 'PRP'), ('my', 'PRP$'), ('three', 'CD'), ('brothers', 'NNS'), ('right', 'RB'), ('amp', 'VBP'), ('sent', 'VBD'), ('us', 'PRP'), ('school', 'NN'), ('amp', 'VBP'), ('none', 'NN'), ('us', 'PRP'), ('is', 'VBZ'), ('antivaccine', 'JJ'), ('amp', 'IN'), ('we', 'PRP'), ('also', 'RB'), ('believe', 'VBP'), ('that', 'IN'), ('couid', 'NN'), ('nineteen', 'NN'), ('is', 'VBZ'), ('real', 'JJ'), ('amp', 'IN'), ('we', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('spend', 'VB'), ('too', 'RB'), ('much', 'JJ'), ('time', 'NN'), ('listening', 'VBG'), ('whatever', 'WDT'), ('bullshit', 'RB'), ('shared', 'VBD'), ('whatsapp', 'NN')]",ENGLISH,"['honestly', 'deep', 'grateful', 'parent', 'try', 'well', 'raise', 'three', 'brother', 'right', 'amp', 'send', '-PRON-', 'school', 'amp', 'none', 'us', 'antivaccine', 'amp', 'also', 'believe', 'couid', 'nineteen', 'real', 'amp', 'not', 'spend', 'much', 'time', 'listen', 'whatever', 'bullshit', 'share', 'whatsapp']",honestly deep grateful parent try well raise three brother right amp send -PRON- school amp none us antivaccine amp also believe couid nineteen real amp not spend much time listen whatever bullshit share whatsapp,"{'neg': 0.066, 'neu': 0.714, 'pos': 0.22, 'compound': 0.8316}",0.8316,positive
57218,3/3 sri n ram published several news cartoons against indian vaccine causing much fear among citizens. it is very much unbecoming this pandemic. he is jealous sadguru pity is that he is one top 50 anti hindu people world,"[('three', 'CD'), ('three', 'CD'), ('sri', 'NN'), ('i', 'NN'), ('ram', 'VBP'), ('published', 'VBN'), ('several', 'JJ'), ('news', 'NN'), ('cartoons', 'NNS'), ('against', 'IN'), ('indian', 'JJ'), ('vaccine', 'NN'), ('causing', 'VBG'), ('much', 'JJ'), ('fear', 'NN'), ('among', 'IN'), ('citizens', 'NNS'), ('it', 'PRP'), ('is', 'VBZ'), ('very', 'RB'), ('much', 'JJ'), ('unbecoming', 'NN'), ('this', 'DT'), ('pandemic', 'NN'), ('he', 'PRP'), ('is', 'VBZ'), ('jealous', 'JJ'), ('saegiru', 'JJ'), ('pity', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('one', 'CD'), ('top', 'NN'), ('fifty', 'NN'), ('anti', 'JJ'), ('hindu', 'NN'), ('people', 'NNS'), ('world', 'NN')]",ENGLISH,"['three', 'three', 'sri', 'ram', 'publish', 'several', 'news', 'cartoon', 'indian', 'vaccine', 'cause', 'much', 'fear', 'among', 'citizen', 'much', 'unbecoming', 'pandemic', 'jealous', 'saegiru', 'pity', 'one', 'top', 'fifty', 'anti', 'hindu', 'people', 'world']",three three sri ram publish several news cartoon indian vaccine cause much fear among citizen much unbecoming pandemic jealous saegiru pity one top fifty anti hindu people world,"{'neg': 0.235, 'neu': 0.725, 'pos': 0.04, 'compound': -0.836}",-0.836,negative
57226,so far none my circle/ acquaintance anti-vaccine.,"[('so', 'RB'), ('far', 'RB'), ('none', 'NN'), ('my', 'PRP$'), ('circle', 'NN'), ('acquaintance', 'NN'), ('anti', 'CD'), ('vaccine', 'NN')]",ENGLISH,"['far', 'none', 'circle', 'acquaintance', 'anti', 'vaccine']",far none circle acquaintance anti vaccine,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
57231,"so when all political parties were telling public not use modi vaccine back jan'21 - we should've let vaccines lying unused/underutilized till mar due these anti-human propoganda, go waste but not help others dying without any vaccine their health workers","[('so', 'RB'), ('when', 'WRB'), ('all', 'DT'), ('political', 'JJ'), ('parties', 'NNS'), ('we', 'PRP'), ('are', 'VBP'), ('telling', 'VBG'), ('public', 'JJ'), ('not', 'RB'), ('use', 'IN'), ('modi', 'JJ'), ('vaccine', 'NN'), ('back', 'RB'), ('jan', 'JJ'), ('twentynine', 'NN'), ('we', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('let', 'VBN'), ('vaccines', 'NNS'), ('lying', 'VBG'), ('unused', 'JJ'), ('underutilized', 'JJ'), ('till', 'NN'), ('mar', 'NN'), ('due', 'JJ'), ('these', 'DT'), ('anti', 'JJ'), ('human', 'NN'), ('propaganda', 'NN'), ('go', 'VBP'), ('waste', 'NN'), ('but', 'CC'), ('not', 'RB'), ('help', 'VB'), ('others', 'NNS'), ('dying', 'VBG'), ('without', 'IN'), ('any', 'DT'), ('vaccine', 'VBP'), ('their', 'PRP$'), ('health', 'NN'), ('workers', 'NNS')]",ENGLISH,"['political', 'party', 'tell', 'public', 'not', 'use', 'modi', 'vaccine', 'back', 'jan', 'twentynine', 'let', 'vaccine', 'lie', 'unused', 'underutilize', 'till', 'mar', 'due', 'anti', 'human', 'propaganda', 'go', 'waste', 'not', 'help', 'other', 'die', 'without', 'vaccine', 'health', 'worker']",political party tell public not use modi vaccine back jan twentynine let vaccine lie unused underutilize till mar due anti human propaganda go waste not help other die without vaccine health worker,"{'neg': 0.159, 'neu': 0.798, 'pos': 0.042, 'compound': -0.6294}",-0.6294,negative
57232,"entire narrative is anti govt you smashed vacvination drive all way n discouraged crores your viewers by declaring vaccine as weapon destruction n even then you didn't feel shame vaccinating youself n displaying it. come on, do justice your profession or leave it.","[('entire', 'JJ'), ('narrative', 'NN'), ('is', 'VBZ'), ('anti', 'JJ'), ('govt', 'NN'), ('you', 'PRP'), ('smashed', 'VBD'), ('vaccination', 'NN'), ('drive', 'NN'), ('all', 'DT'), ('way', 'NN'), ('i', 'NNS'), ('discouraged', 'VBD'), ('crores', 'NNS'), ('your', 'PRP$'), ('viewers', 'NNS'), ('by', 'IN'), ('declaring', 'VBG'), ('vaccine', 'NN'), ('as', 'IN'), ('weapon', 'NN'), ('destruction', 'NN'), ('i', 'RB'), ('even', 'RB'), ('then', 'RB'), ('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('feel', 'VB'), ('shame', 'JJ'), ('vaccinating', 'VBG'), ('youself', 'PRP'), ('i', 'JJ'), ('displaying', 'VBG'), ('it', 'PRP'), ('come', 'VB'), ('on', 'IN'), ('do', 'JJ'), ('justice', 'VB'), ('your', 'PRP$'), ('profession', 'NN'), ('or', 'CC'), ('leave', 'VB'), ('it', 'PRP')]",ENGLISH,"['entire', 'narrative', 'anti', 'govt', 'smashed', 'vaccination', 'drive', 'way', 'discourage', 'crore', 'viewer', 'declare', 'vaccine', 'weapon', 'destruction', 'even', 'not', 'feel', 'shame', 'vaccinate', 'youself', 'display', 'come', 'justice', 'profession', 'leave']",entire narrative anti govt smashed vaccination drive way discourage crore viewer declare vaccine weapon destruction even not feel shame vaccinate youself display come justice profession leave,"{'neg': 0.237, 'neu': 0.646, 'pos': 0.117, 'compound': -0.6305}",-0.6305,negative
57268,you take it or are you another anti vaccine fool putting others at risk,"[('you', 'PRP'), ('take', 'VBP'), ('it', 'PRP'), ('or', 'CC'), ('are', 'VBP'), ('you', 'PRP'), ('another', 'DT'), ('anti', 'JJ'), ('vaccine', 'NN'), ('fool', 'NN'), ('putting', 'VBG'), ('others', 'NNS'), ('at', 'IN'), ('risk', 'NN')]",ENGLISH,"['take', 'another', 'anti', 'vaccine', 'fool', 'put', 'other', 'risk']",take another anti vaccine fool put other risk,"{'neg': 0.399, 'neu': 0.601, 'pos': 0.0, 'compound': -0.743}",-0.743,negative
57270,"india has great potential respect best brains world. our people can develop anything like vaccines, medicines, alliances combat any problem. our biggest hinderances include anti-national politics, population belongingness with country.","[('india', 'NN'), ('has', 'VBZ'), ('great', 'JJ'), ('potential', 'JJ'), ('respect', 'NN'), ('best', 'JJS'), ('brains', 'VBZ'), ('world', 'NN'), ('our', 'PRP$'), ('people', 'NNS'), ('can', 'MD'), ('develop', 'VB'), ('anything', 'NN'), ('like', 'IN'), ('vaccines', 'NNS'), ('medicines', 'NNS'), ('alliances', 'NNS'), ('combat', 'VBP'), ('any', 'DT'), ('problem', 'NN'), ('our', 'PRP$'), ('biggest', 'JJS'), ('hindrances', 'NNS'), ('include', 'VBP'), ('anti', 'JJ'), ('national', 'JJ'), ('politics', 'NNS'), ('population', 'NN'), ('belongingness', 'NN'), ('with', 'IN'), ('country', 'NN')]",ENGLISH,"['india', 'great', 'potential', 'respect', 'good', 'brain', 'world', 'people', 'develop', 'anything', 'like', 'vaccine', 'medicine', 'alliance', 'combat', 'problem', 'big', 'hindrance', 'include', 'anti', 'national', 'politic', 'population', 'belongingness', 'country']",india great potential respect good brain world people develop anything like vaccine medicine alliance combat problem big hindrance include anti national politic population belongingness country,"{'neg': 0.119, 'neu': 0.558, 'pos': 0.323, 'compound': 0.8689}",0.8689,positive
