Text,new_text,languages,new_text_after_translation,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun,scores,compound,sentiment
"i thought i was going get headache like i had when i had covid, but it never developed into full-blown headache. slight sore arm was extent 2nd pfizer shot discomfort.","i thought i was going get headache like i had when i had covid, but it never developed into full-blown headache. slight sore arm was extent 2nd pfizer shot discomfort.",ENGLISH,"i thought i was going get headache like i had when i had covid, but it never developed into full-blown headache. slight sore arm was extent 2nd pfizer shot discomfort.","[('i', 'NN'), ('thought', 'VBD'), ('i', 'NN'), ('was', 'VBD'), ('going', 'VBG'), ('get', 'NN'), ('headache', 'NN'), ('like', 'IN'), ('i', 'NN'), ('had', 'VBD'), ('when', 'WRB'), ('i', 'NN'), ('had', 'VBD'), ('covid', 'NNS'), ('but', 'CC'), ('it', 'PRP'), ('never', 'RB'), ('developed', 'VBD'), ('into', 'IN'), ('full', 'JJ'), ('blown', 'VBN'), ('headache', 'NN'), ('slight', 'NN'), ('sore', 'NN'), ('arm', 'NN'), ('was', 'VBD'), ('extent', 'JJ'), ('and', 'CC'), ('pfizer', 'NN'), ('shot', 'NN'), ('discomfort', 'NN')]","['think', 'go', 'get', 'headache', 'like', 'covid', 'never', 'develop', 'full_blown', 'headache', 'slight', 'sore', 'arm', 'extent', 'pfizer', 'shoot', 'discomfort']","['think', 'go', 'get', 'headache', 'covid', 'never', 'develop', 'full_blown', 'headache', 'slight', 'sore', 'arm', 'extent', 'pfizer', 'shoot', 'discomfort']","['headache', 'headache', 'arm', 'extent', 'pfizer', 'discomfort']","{'neg': 0.219, 'neu': 0.726, 'pos': 0.055, 'compound': -0.7351}",-0.7351,negative
"do me good, pfizer protect boss lady, pfizer person who got it was j&amp;j, i do believe, fwiw. got back vacation 2 1/2 weeks ago. hmm.","do me good, pfizer protect boss lady, pfizer person who got it was j&amp;j, i do believe, fwiw. got back vacation 2 1/2 weeks ago. hmm.",ENGLISH,"do me good, pfizer protect boss lady, pfizer person who got it was j&amp;j, i do believe, fwiw. got back vacation 2 1/2 weeks ago. hmm.","[('do', 'VB'), ('me', 'PRP'), ('good', 'JJ'), ('pfizer', 'NN'), ('protect', 'VBP'), ('boss', 'IN'), ('lady', 'JJ'), ('pfizer', 'NN'), ('person', 'NN'), ('who', 'WP'), ('got', 'VBD'), ('it', 'PRP'), ('was', 'VBD'), ('i', 'JJ'), ('amp', 'VBP'), ('i', 'NN'), ('i', 'VBP'), ('do', 'VBP'), ('believe', 'VB'), ('few', 'JJ'), ('got', 'NNS'), ('back', 'RB'), ('vacation', 'NN'), ('two', 'CD'), ('one', 'CD'), ('two', 'CD'), ('weeks', 'NNS'), ('ago', 'IN'), ('him', 'PRP')]","['good', 'pfizer', 'protect', 'boss', 'lady', 'pfizer', 'person', 'get', 'amp', 'believe', 'get', 'back', 'vacation', 'two', 'one', 'two', 'week', 'ago']","['good', 'pfizer', 'protect', 'boss', 'lady', 'pfizer', 'person', 'get', 'amp', 'believe', 'get', 'back', 'vacation', 'week', 'ago']","['pfizer', 'boss', 'lady', 'pfizer', 'person', 'amp', 'vacation', 'week']","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6705}",0.6705,positive
"every day, there‚Äôs tons news stories pfizer vaccine. really wish there was more data news johnson &amp; johnson vaccine. you know, one i got.","every day, there‚Äôs tons news stories pfizer vaccine. really wish there was more data news johnson &amp; johnson vaccine. you know, one i got.",ENGLISH,"every day, there‚Äôs tons news stories pfizer vaccine. really wish there was more data news johnson &amp; johnson vaccine. you know, one i got.","[('every', 'DT'), ('day', 'NN'), ('there', 'EX'), ('i', 'NN'), ('i', 'VBP'), ('tons', 'NNS'), ('news', 'NN'), ('stories', 'NNS'), ('pfizer', 'VBP'), ('vaccine', 'NN'), ('really', 'RB'), ('wish', 'JJ'), ('there', 'EX'), ('was', 'VBD'), ('more', 'JJR'), ('data', 'NNS'), ('news', 'NN'), ('johnson', 'NN'), ('amp', 'IN'), ('johnson', 'NN'), ('vaccine', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('one', 'CD'), ('i', 'NN'), ('got', 'VBD')]","['every', 'day', 'ton', 'news', 'story', 'pfizer', 'vaccine', 'really', 'wish', 'data', 'news', 'johnson', 'amp', 'johnson', 'vaccine', 'know', 'one', 'get']","['day', 'ton', 'news', 'story', 'pfizer', 'vaccine', 'really', 'wish', 'data', 'know', 'get']","['day', 'news', 'story', 'pfizer', 'vaccine', 'data']","{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.4576}",0.4576,positive
i got #pfizer first round. booster do i get it again or #moderna i rolled dice üé≤ üé≤ got moderna 3rd shot. ‚Äúwe're all mad here‚Äù,i got #pfizer first round. booster do i get it again or #moderna i rolled dice game_die game_die got moderna 3rd shot. ‚Äúwe're all mad here‚Äù,ENGLISH,i got #pfizer first round. booster do i get it again or #moderna i rolled dice game_die game_die got moderna 3rd shot. ‚Äúwe're all mad here‚Äù,"[('i', 'NN'), ('got', 'VBD'), ('pfizer', 'RB'), ('first', 'JJ'), ('round', 'NN'), ('booster', 'NN'), ('do', 'VBP'), ('i', 'VB'), ('get', 'VB'), ('it', 'PRP'), ('again', 'RB'), ('or', 'CC'), ('modern', 'JJ'), ('i', 'NN'), ('rolled', 'VBD'), ('dice', 'NN'), ('got', 'VBD'), ('modern', 'JJ'), ('ord', 'IN'), ('shot', 'NN'), ('i', 'NN'), ('we', 'PRP'), ('re', 'VBP'), ('all', 'DT'), ('mad', 'NN'), ('here', 'RB'), ('i', 'VB')]","['get', 'pfizer', 'first', 'round', 'booster', 'get', 'modern', 'roll', 'dice', 'get', 'modern', 'ord', 'shoot', 'mad']","['get', 'pfizer', 'first', 'round', 'booster', 'get', 'modern', 'roll', 'dice', 'get', 'modern', 'ord', 'shoot', 'mad']","['pfizer', 'booster', 'dice', 'ord']","{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.4939}",-0.4939,positive
i was slightly tired twenty four hours after my second pfizer. sleeping only 5 or 6 previous 48 hours because call probably had greater impact than mrna lipid particles but i‚Äôm just guessing here,i was slightly tired twenty four hours after my second pfizer. sleeping only 5 or 6 previous 48 hours because call probably had greater impact than mrna lipid particles but i‚Äôm just guessing here,ENGLISH,i was slightly tired twenty four hours after my second pfizer. sleeping only 5 or 6 previous 48 hours because call probably had greater impact than mrna lipid particles but i‚Äôm just guessing here,"[('i', 'NN'), ('was', 'VBD'), ('slightly', 'RB'), ('tired', 'JJ'), ('twenty', 'RB'), ('four', 'CD'), ('hours', 'NNS'), ('after', 'IN'), ('my', 'PRP$'), ('second', 'JJ'), ('pfizer', 'NN'), ('sleeping', 'VBG'), ('only', 'RB'), ('five', 'CD'), ('or', 'CC'), ('six', 'CD'), ('previous', 'JJ'), ('hours', 'NNS'), ('because', 'IN'), ('call', 'NN'), ('probably', 'RB'), ('had', 'VBD'), ('greater', 'JJR'), ('impact', 'NN'), ('than', 'IN'), ('mrna', 'FW'), ('lipid', 'JJ'), ('particles', 'NNS'), ('but', 'CC'), ('i', 'VBP'), ('i', 'VBP'), ('i', 'NN'), ('just', 'RB'), ('guessing', 'VBG'), ('here', 'RB')]","['slightly', 'tired', 'twenty', 'four', 'hour', 'second', 'pfizer', 'sleep', 'five', 'previous', 'hour', 'call', 'probably', 'great', 'impact', 'lipid', 'particle', 'guess']","['slightly', 'tired', 'hour', 'second', 'pfizer', 'sleep', 'previous', 'hour', 'call', 'probably', 'great', 'impact', 'lipid', 'particle', 'guess']","['hour', 'pfizer', 'hour', 'impact', 'lipid', 'particle']","{'neg': 0.055, 'neu': 0.891, 'pos': 0.054, 'compound': -0.0138}",-0.0138,negative
"my son was sept/oct 2020 pfizer trial is currently one 10,000 worldwide who are booster trial. he had booster few weeks ago, they have done regular blood work last 11 months.","my son was sept/oct 2020 pfizer trial is currently one 10,000 worldwide who are booster trial. he had booster few weeks ago, they have done regular blood work last 11 months.",ENGLISH,"my son was sept/oct 2020 pfizer trial is currently one 10,000 worldwide who are booster trial. he had booster few weeks ago, they have done regular blood work last 11 months.","[('my', 'PRP$'), ('son', 'NN'), ('was', 'VBD'), ('sept', 'JJ'), ('oct', 'JJ'), ('pfizer', 'NN'), ('trial', 'NN'), ('is', 'VBZ'), ('currently', 'RB'), ('one', 'CD'), ('ten', 'NN'), ('zero', 'CD'), ('worldwide', 'NN'), ('who', 'WP'), ('are', 'VBP'), ('booster', 'JJ'), ('trial', 'NN'), ('he', 'PRP'), ('had', 'VBD'), ('booster', 'RB'), ('few', 'JJ'), ('weeks', 'NNS'), ('ago', 'IN'), ('they', 'PRP'), ('have', 'VBP'), ('done', 'VBN'), ('regular', 'JJ'), ('blood', 'NN'), ('work', 'NN'), ('last', 'JJ'), ('eleven', 'JJ'), ('months', 'NNS')]","['son', 'sept', 'oct', 'pfizer', 'trial', 'currently', 'one', 'ten', 'zero', 'worldwide', 'booster', 'trial', 'booster', 'week', 'ago', 'do', 'regular', 'blood', 'work', 'last', 'eleven', 'month']","['pfizer', 'trial', 'currently', 'worldwide', 'booster', 'trial', 'booster', 'week', 'ago', 'do', 'regular', 'blood', 'work', 'last', 'month']","['pfizer', 'trial', 'booster', 'trial', 'booster', 'week', 'blood', 'work', 'month']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"welcome team pfizer, kiddo.","welcome team pfizer, kiddo.",ENGLISH,"welcome team pfizer, kiddo.","[('welcome', 'JJ'), ('team', 'NN'), ('pfizer', 'NN'), ('kiddo', 'NN')]","['welcome', 'team', 'pfizer', 'kiddo']","['welcome', 'team', 'pfizer']","['team', 'pfizer']","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,positive
available one. i got pfizer but whatever is available.,available one. i got pfizer but whatever is available.,ENGLISH,available one. i got pfizer but whatever is available.,"[('available', 'JJ'), ('one', 'CD'), ('i', 'NN'), ('got', 'VBD'), ('pfizer', 'RB'), ('but', 'CC'), ('whatever', 'WDT'), ('is', 'VBZ'), ('available', 'JJ')]","['available', 'one', 'get', 'pfizer', 'whatever', 'available']","['available', 'get', 'pfizer', 'available']",['pfizer'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
double vaccinated with pfizer march/april.,double vaccinated with pfizer march/april.,ENGLISH,double vaccinated with pfizer march/april.,"[('double', 'RB'), ('vaccinated', 'VBN'), ('with', 'IN'), ('pfizer', 'NN'), ('march', 'NN'), ('april', 'NN')]","['double', 'vaccinated', 'pfizer', 'march', 'april']","['double', 'vaccinated', 'pfizer']",['pfizer'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"not necessarily, but not being aware that ceo pfizer didn‚Äôt feel sense urgency get vax is‚Ä¶","not necessarily, but not being aware that ceo pfizer didn‚Äôt feel sense urgency get vax is‚Ä¶",ENGLISH,"not necessarily, but not being aware that ceo pfizer didn‚Äôt feel sense urgency get vax is‚Ä¶","[('not', 'RB'), ('necessarily', 'RB'), ('but', 'CC'), ('not', 'RB'), ('being', 'VBG'), ('aware', 'JJ'), ('that', 'IN'), ('ceo', 'NN'), ('pfizer', 'NN'), ('didn', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('feel', 'VBP'), ('sense', 'NN'), ('urgency', 'NN'), ('get', 'VB'), ('van', 'NN'), ('is', 'VBZ'), ('i', 'JJ')]","['not', 'necessarily', 'not', 'aware', 'ceo', 'pfizer', 'feel', 'sense', 'urgency', 'get', 'van']","['necessarily', 'aware', 'ceo', 'pfizer', 'feel', 'sense', 'urgency', 'get']","['ceo', 'pfizer', 'sense', 'urgency']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
pfizer is definitely what cody i will eventually get.,pfizer is definitely what cody i will eventually get.,ENGLISH,pfizer is definitely what cody i will eventually get.,"[('pfizer', 'NN'), ('is', 'VBZ'), ('definitely', 'RB'), ('what', 'WP'), ('cody', 'NN'), ('i', 'NN'), ('will', 'MD'), ('eventually', 'RB'), ('get', 'VB')]","['pfizer', 'definitely', 'cody', 'eventually', 'get']","['pfizer', 'definitely', 'cody', 'eventually', 'get']",['pfizer'],"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,positive
"vaccinated sun, pfizer rising, please mask up stay 6 feet away me moon","vaccinated sun, pfizer rising, please mask up stay 6 feet away me moon",ENGLISH,"vaccinated sun, pfizer rising, please mask up stay 6 feet away me moon","[('vaccinated', 'VBN'), ('sun', 'JJ'), ('pfizer', 'NN'), ('rising', 'VBG'), ('please', 'NN'), ('mask', 'VB'), ('up', 'RP'), ('stay', 'JJ'), ('six', 'CD'), ('feet', 'NNS'), ('away', 'RB'), ('me', 'PRP'), ('moon', 'VBP')]","['vaccinated', 'sun', 'pfizer', 'rise', 'please', 'mask', 'stay', 'foot', 'away', 'moon']","['vaccinated', 'sun', 'pfizer', 'rise', 'mask', 'stay', 'foot', 'away', 'moon']","['sun', 'pfizer', 'mask', 'foot', 'moon']","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.3182}",0.3182,positive
ceo pfizer didn't take it. what does that say,ceo pfizer didn't take it. what does that say,ENGLISH,ceo pfizer didn't take it. what does that say,"[('ceo', 'NN'), ('pfizer', 'NN'), ('didn', 'NN'), ('i', 'NNS'), ('take', 'VBP'), ('it', 'PRP'), ('what', 'WDT'), ('does', 'VBZ'), ('that', 'IN'), ('say', 'VB')]","['ceo', 'pfizer', 'take', 'say']","['pfizer', 'take', 'say']",['pfizer'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,negative
"you're welcome. i'm health coach, i licenced nutritionist vaccine has no side effects i had i'm as healthy as ever happy be safe #covid19","you're welcome. i'm health coach, i licenced nutritionist vaccine has no side effects i had i'm as healthy as ever happy be safe #covid19",ENGLISH,"you're welcome. i'm health coach, i licenced nutritionist vaccine has no side effects i had i'm as healthy as ever happy be safe #covid19","[('you', 'PRP'), ('re', 'VBP'), ('welcome', 'JJ'), ('i', 'NN'), ('i', 'VBP'), ('health', 'NN'), ('coach', 'NN'), ('i', 'NN'), ('licensed', 'VBD'), ('nutritionist', 'JJ'), ('vaccine', 'NN'), ('has', 'VBZ'), ('no', 'DT'), ('side', 'NN'), ('effects', 'NNS'), ('i', 'VBP'), ('had', 'VBD'), ('i', 'NN'), ('i', 'NN'), ('as', 'RB'), ('healthy', 'JJ'), ('as', 'IN'), ('ever', 'RB'), ('happy', 'JJ'), ('be', 'VB'), ('safe', 'JJ')]","['welcome', 'health', 'coach', 'license', 'nutritionist', 'vaccine', 'side_effect', 'healthy', 'ever', 'happy', 'safe']","['welcome', 'health', 'coach', 'license', 'nutritionist', 'vaccine', 'side_effect', 'healthy', 'ever', 'happy', 'safe']","['health', 'coach', 'nutritionist', 'vaccine', 'side_effect']","{'neg': 0.07, 'neu': 0.54, 'pos': 0.39, 'compound': 0.8779}",0.8779,positive
