,Text,Translated
10,"코로나바이러스 메세지는 끔찍한 환난이 시작을 알리는 것입니다  

#AmGoingToMenengai
#나는_메넹가이로_갑니다
#메넹가이_12월30일_31일","Corona Virus Message is to announce the beginning of terrible tribulation

#AMGOINGOKENENGAI
# I'm _
# Memo Gaga_12 March 30 _31 days"
11,"코로나바이러스가 지구를 쳤고 전세계를 보면 메시아께서 오신다는 것을 알 수 있습니다.
#AmGoingToMenengai
#나는_메넹가이로_갑니다
#메넹가이_12월30일_31일","Corona Viruses hit the earth, and you can see that the Messiah is coming by the world.
#AMGOINGOKENENGAI
# I'm _
# Memo Gaga_12 March 30 _31 days"
12,"""신종 코로나바이러스 감염증(코로나19) 위기 장기화에 물가 상승까지 겹쳐 금융당국은 이번에도 보험료 인상에 부정적인 시각을 보이고 있다.""
 https://t.co/LgfhJ992kL","""H1N1 Corona virus infection (corona 19) The financial authorities of the financial authorities in the prolonged price of crisis in crisis (Corona 19).
 https://t.co/lgfhj992kl"
13,"코로나바이러스가 악하게 변종하는 것은 더 많은 영혼을 천국에 데려가시기위해서입니다. 
#Menengai4Nakuru","It is to take more soul to heaven to turn the corona virus evil.
# Menengai4nakuru"
14,"어휴 날씨가 많이 추워졌다.
좀전에 약국에 가느라 잠깐 나갔다왔는데
바람소리도 요란하고 어찌나 세게불어대던지
추워 죽는줄알았다.
내일은 더 추워진다니 걱정된다.ㅜ
이럴때일수록 감기조심
코로나바이러스 조심하자.","The weather is very cold.
I came to go to the pharmacy in a moment.
The sound of the wind also blows and blows it.
I knew it was cold.
Tomorrow is worrying about getting colder. ㅜ
When this happens,
Be careful of corona viruses."
15,"오는 13일부터 신종 코로나바이러스 감염증(코로나19) 백신 접종을 완료하지 않거나, 48시간 이내 유전자 증폭(PCR) 검사 음성확인서 없이 식당·카페 등 주요 다중이용시설을 이용할 수 없다. 기본접종(1·2차접종) 완료자에게 발급하는 방역패스 유효기관은 6개월이다.
https://t.co/VFfYxXUAXT","From the 13th to Neighbor Corona virus infection (corona 19), the vaccination is not completed, or a major multi-use facility such as a restaurant, cafe, such as a restaurant, cafe without a gene amplification (PCR) check voice confirmation within 48 hours, Default Inoculation (1 · Secondary) The defense pass valid institution issued to the completion is 6 months.
https://t.co/VFFYXXUAXT"
16,"@J_infinitegrace @jyKsfmhnUMA1A6w 코로나바이러스는 환란 때 비하면 맛보기입니다.

#JourneyToMenengai4
https://t.co/YM0vbPtwZ2","@ J_infinitegrace @ jyksfmhnuma1a6w Corona Virus is a tasting compared to the tribulation.

# JourneyTomenengai4
https://t.co/ym0VBPTWZ2"
17,"#JourneyToMenengai4
두선지자는 코로나바이러스로 인간의 삶을 완전히 변화시켰습니다
환난에서 피신하여야 합니다","# JourneyTomenengai4
The two lows have changed the life of human life with corona viruses.
You must be devoted from the tribulation."
18,"@HYOSUK3 @ArthurPark60 #LetsGoToMenengai
코로나바이러스가 의미하는 바를 이 세대는 깨달아야 합니다.","@ Hyosuk3 @ arthurpark60 #letsgotomenengai
This generation should be realized that the Corona virus means."
19,"@nhk_news 회개와 거룩함 사역회 BUSAN                                  

코로나바이러스 보다 더 심각한
상황들이 환난때 옵니다
천국을 준비할 때입니다
지구는 심판에  처할 것입니다 
#OurWayToMenengai4

https://t.co/DlKlQW7zt1","@nhk_news repentance and holiness ministries Busan

More serious than coronavirus
The situation comes when the situation is trouble
It's time to prepare for heaven.
Earth will be referred to judgment
# OURWAYTOMENENGAI4

https://t.co/dlklqw7zt1"
20,"@MSNBC 회개와 거룩함 사역회 BUSAN                                  

코로나바이러스는
주님의 심판인데 회개하지
않는 사람들로 없애주지
않으십니다
#OurWayToMenengai4

https://t.co/DlKlQW7zt1","@Msnbc repentance and holiness ministries Busan

Corona Virus
I'm the referee of the Lord.
I'll get rid of it.
Not
# OURWAYTOMENENGAI4

https://t.co/dlklqw7zt1"
21,"@FinancialTimes 회개와 거룩함 사역회 BUSAN                                    

백신은 코로나바이러스의
해결책이 아닙니다
주님을 영접하십시오
#RoadToMenengai4
#메넹가이4_가는_길

https://t.co/JlYSshdDAq","@Financialtimes repentance and holiness ministries Busan

The vaccine is a corona virus
It is not a solution.
Come to the Lord
# Roadtomenengai4
# Memo Gaga 4_

https://t.co/JLysshddaq"
22,"@didwocjsdptj 코로나,변종바이러스,생화학전,초 미세먼지 제거,방사능가루등 해결가능하여 향후 미래 먹거리로 손색이 없습니다.
본인은 10년간 인하공전 디지탈전자공학과
겸임교수 경력과, 코로나바이러스 사멸2종
과 4종류의 다른 전자기기 발명특허도 보유
하고 있습니다.경력오픈은 제 의도가 후보께 전해지길~ https://t.co/cBsaoTpdIX","@Didwocjsdptj Corona, variant virus, biochemical, ultra fine dust removal, Radiation powder, etc.
I am in the Department of Digital Electronics Engineering for 10 years
Professor Corona Virus Death,
And 4 types of other electronic invented patents
. Career Open is the donation to the candidate ~ https://t.co/CBsaotPDIX"
23,"@ABC 회개와 거룩함 사역회 BUSAN                                  

코로나바이러스가 이렇게 우리 삶을 바꾸어 놓을 때
전능자 하나님을 찾아야 합니다
#SuperGrandRevival
 https://t.co/I9JScxRbyG","@Abc repentance and holiness ministry government Busan

When Corona Virus changes our lives
You have to find the Almighty God
#Supergrandrevival
 https://t.co/I9JSCXRBYG"
24,"회개와 거룩함 사역회 BUSAN
#SuperGrandRevival

https://t.co/KgQWPS45vQ

https://t.co/GewcSQZ9da

주님께서는 마지막 휴거의
준비방법으로 그랜드 메가
부흥집회 &lt;메넹가이4집회&gt;를
코로나바이러스 가운데
허락하셨습니다 https://t.co/nSmVJd0Mth","Repentation and Holy Split Busan
#Supergrandrevival

https://t.co/KGQWPS45VQ

https://t.co/GewCsqz9da

The Lord is the last
Grand Mega as a preparation method
Revival Rally & LT; Memoiga 4 Roll & GT;
Among the coronaviruses
You permitted https://t.co/nsmvjd0mth"
25,"@cheolsoo0919 근데 안박사님은PC바이러스잡는 박사쟎아요? 저는 코로나바이러스잡는
코로나사멸 공기청정기를 완벽하게발명
한 사람, 우리 둘이 콜라보레이션해서코로나
팬더믹종식하는것이 종전선언보다 중요
하지요? 세계인을위해~대통령꿈,일장추몽 한국,어린시절 한반90%는 대통령이 꿈이랬는데~한다는사람~ㅋㅋ https://t.co/kIvR1IxP31","@ Cheolsoo0919 But do not know how to catch a PC virus? I got a corona virus
Perfectly invented Corona Destination Air Purifier
One person, the two of us collaborated,
Fanelic ending is more important than the previous declaration
Is not it? For the world ~ Presidential dream, one day,"
26,"@Song_Younghoon @akak1822 위드코로나?사멸기예방없이? 
허니확진자3천명넘는대기록 세우죠 Without COVID-19가 정답 입니다.! 
사멸기로  사전방역 했어야 합니다. 안후보는PC바이러스잡는 박사쟎아요? 저는코로나바이러스잡는사멸기를 완벽하
게발명,협력해코로나종식하는것, 종전선언
보다중요하지 않을까요? 세계인을
위해~ https://t.co/safRiLCZO9","@Song_younghoon @ akak1822 Weed Corona? Without prevention of killer?
Without Covid-19 is the correct answer.
You must have pre-protected with killer. Do not you have a PC virus? I am perfect for the ridiculum to catch the corona virus.
Crawling, collaboration Hokorona, ending, conventional declaration
Would not it be more important? The world
To ~ https://t.co/safrilczo9"
27,"@dalcho 다정씨,근데 안박사님은PC바이러스잡는 박사쟎아요? 저는 코로나바이러스잡는
코로나사멸 공기청정기를 완벽하게발명
한 사람, 둘이 콜라보레이션해서코로나
팬더믹종식하는것이 종전선언보다 중요
하지요? 세계인을위해~대통령꿈,
일장추몽 한국,어린시절 한 반 의 90%는 대통령이 꿈이랬는데~~ㅋㅋㅋ https://t.co/5aR99oRqKw","@Dalcho Danjung, but not a Demonstration, a PC virus catching a doctor? I got a corona virus
Perfectly invented Corona Destination Air Purifier
One person, two collaboration,
Fanelic ending is more important than the previous declaration
Is not it? To the world,
One of the first half of Korea, a child, the president was a dream,"
28,"루마니아, 사망자 급증에 시신 방치까지..그런데도 ""백신 거부"" | 다음 뉴스 https://t.co/HyVpamJEtx 구마니아의 비극도 결국은 기레기들이 주도적으로 만든 것이거나 적어도 공범인 범죄행각 때문이다 기레기들은 지구상에서 박멸해야 될 코로나바이러스같은 존재들이다","Romania, to death to the death of death .. But also, ""Vaccine refuses"" | The following news https://t.co/HYVPamjetx Kumnia's tragedy is eventually made by the giregians, or at least a criminal criminal rhinestone, and the giregians are like coronaviruses that will have to eradicate on the earth."
29,"@thehill 회개와 거룩함 사역회 BUSAN                                           

지금은 다시 코로나바이러스가
사람들을 많이 죽이고 있습니다
이것은 하나님의 심판입니다
#VergeOfRapture
https://t.co/p8wjjRYIcq","@thehill repentance and holiness ministry Busan

Now the Corona Virus
People are killing a lot
This is the judgment of God.
# VREGEOFRAPRAPTURE
https://t.co/P8WJJRYICQ"
30,"@nytimes 회개와 거룩함 사역회 BUSAN                                     

코로나바이러스는 사라지지
않습니다
주님의 심판입니다
#HisComingIsNigh
#메시아의_오심이_가깝습니다

https://t.co/Q9stco7OUu","@nytimes repentance and holiness ministries Busan

Corona Virus disappears
not
The referee of the Lord
#Hiscomingisnigh
# Messiah's _ Close

https://t.co/q9stco7ouu"
31,코로나바이러스랑 17대 1로 싸워 이길 자신 있었나보지. https://t.co/CHWV15eXTk,I was confident that I was confident that I was fighting with Corona Virus and 17th 1. https://t.co/CHWV15EXTK
32,"@jyKsfmhnUMA1A6w 회개와 거룩함 사역회 BUSAN                                     

심각한 코로나바이러스는
계속 주님의 심판으로 작용하고
있습니다
#HisComingIsNigh
#메시아의_오심이_가깝습니다

https://t.co/Q9stco7OUu","@ jyksfmhnuma1a6w Repentance and Holy Ministry Busan

Serious coronavirus
Keep working with the Lord's judgment
there is
#Hiscomingisnigh
# Messiah's _ Close

https://t.co/q9stco7ouu"
33,"@NBCNews 회개와 거룩함 사역회 BUSAN                                      
 
#EmbraceRighteousness
#의를_옷입으십시오

https://t.co/gdBrb5D74A
주님께서 오십니다
코로나바이러스는 하나님 심판입니다
회개해야 합니다","@NBCNEWS Repent and Holy Split Assistant Busan
 
#Embracerighteousness
# Come on

https://t.co/GDBRB5D74A
The Lord will come
Corona Virus is a God judgment
You must repent"
34,"최고 권능의 두 선지자 코로나바이러스를 예언하신 두 선지자께서 열방을 다시며 영화로운 메시아의 오심을 준비하라고 외치셨습니다. #EmbraceRighteousness
#의를_옷입으십시오","The two prophets of the highest power of the highest power were shouted to prepare the nausea of ​​the Messiah, a movie, rather than a hem. #Embracerighteousness
# Come on"
35,두 선지자님께서 예언하신 코로나바이러스가 전 지구를 통치하고 있습니다. #JesusCelebrationWeekend,The two prophets are prophesied by the Corona Virus ruling the planet. #JesusCeleBrationWeekend
36,"@latimes 회개와 거룩함 사역회 BUSAN                                    

#JesusCelebrationWeekend
https://t.co/9fH1CO3Jqa
코로나바이러스를 허락하신 주님께서 모든 질병들을 치유받아라 하십니다
하나님은 여러분들의 관심을
유도하십니다 https://t.co/toGDZPXtJV","@latimes repentance and holiness ministries Busan

#JesusCeleBrationWeekend
https://t.co/9FH1CO3JQA
The Lord, who allowed corona virus, to heal all diseases.
God is your interest
Induction https://t.co/togdzpxtjv"
37,"@CNN 회개와 거룩함 사역회 BUSAN                                    

#JesusCelebrationWeekend
https://t.co/9fH1CO3Jqa
코로나바이러스등 모든 질병을
예수님의 보혈로 치유받으십시오!!! https://t.co/JG3WHsi6ml","@Cnn repentance and holiness ministry meeting Busan

#JesusCeleBrationWeekend
https://t.co/9FH1CO3JQA
Corona Virus, etc. All diseases
Get the healing of Jesus' blood !!! https://t.co/JG3WHSI6ML"
38,"영암군 코로나바이러스감염증-19 생활지원비 신청·접수
 https://t.co/8XaYhkxKPD","Yeongam-gun Corona Viral Detective - 19 Life Support Application / Reception
 https://t.co/8xayhkxkpd"
39,"@CNN 회개와 거룩함 사역회 BUSAN

코로나바이러스로 심판하십니다
불구자를 일어나 걷게 하십니다
지진으로 나라들을 심판하십니다
#OurEternalDestiny
#메시아께서_오십니다
#거룩함이_없이는_주님을_뵐수_없습니다

https://t.co/8KCiLsz9fg","@Cnn repentance and holiness ministry meeting Busan

Judge as a corona virus.
Let's walk around.
Refer to the countries with an earthquake.
#OURETERNALDESTINY
# Messiah comes
# Without holiness, I can not see the Lord _

https://t.co/8kcilsz9fg"
40,"@thehill 회개와 거룩함 사역회 BUSAN                                           

다시 코로나바이러스 이전으로
돌아갈 수 없고
지옥에 빠진 후 다시 나올 수
없습니다
#OurEternalDestiny
 https://t.co/8KCiLsz9fg","@thehill repentance and holiness ministry Busan

Again, Corona Virus
I can not go back.
After falling in hell,
There is not
#OURETERNALDESTINY
 https://t.co/8kcilsz9fg"
41,"""일본 도쿄도가 지난 6개월간 신종 코로나바이러스 감염증(코로나19) 확진자 수를 잘못 집계한 것으로 드러났다. 5차 유행 당시 환자 대응 업무로 바빴던 보건소 직원들의 실수로 4,000명이 넘는 확진자가 집계 시스템에서 누락된 것이다.""
https://t.co/SbMr0CSsr6","""Japan Tokyo, Japan, was misconstrum that the number of confirmation of H1N1 corona virus (corona 19). At the time of the 5th trend, the mistake of the employees of public health staff, which was busy in patients' responses, . ""
https://t.co/SBMR0CSSR6"
42,"@guardiannews 회개와 거룩함 사역회 BUSAN                                      

코로나바이러스는 하나님의 심판입니다
#GospelOfEternity
https://t.co/fUBiq6JoJe","@Guardiannews repentance and holiness ministries Busan

Corona Virus is the judgment of God
#Gospelofeternity
https://t.co/Fubiq6joje"
43,"@ABC 회개와 거룩함 사역회 BUSAN                                      

코로나바이러스는 겸손함으로
주님께 모든 죄를 회개하라는
뜻의 심판입니다
#GospelOfEternity
https://t.co/fUBiq6JoJe","@Abc repentance and holiness ministry government Busan

Corona virus is modest
To repent of all sins to the Lord
It is a refinement
#Gospelofeternity
https://t.co/Fubiq6joje"
44,"@Jesusisonly1 #GospelOfEternity
코로나바이러스보다 더 큰 재앙으로 이 땅을 치실 것입니다.","@ Jesusisonly1 #gospelofeternity
This land will be placed with a larger disaster than Corona Virus."
45,"@Reuters 회개와 거룩함 사역회 BUSAN                                  

코로나바이러스는 하나님의
심판입니다
하나님께 반역한 죄의 결과입니다
#HeavenBoundChurch
 https://t.co/YcbxHCvhww","@Reuters Repentation and Holy Ministry BUSAN

Corona Virus is God's
The referee
It is the result of sin reversed to God.
#HEAVENBOUNDCHURCH
 https://t.co/YCBXHCVHWW"
46,"@YahooNewsTopics 회개와 거룩함 사역회 BUSAN                                 

2015년 12월 1일에 코로나바이러스를 예언하고, 황폐하게 하는 메뚜기떼 재앙을 예언한 선지자가 선포한
기도를 듣고 중풍병자가
일어나 걸었습니다
#TheHeavenlyChurch

 https://t.co/C9VzpC54er","@Yahoonewstopics Repentation and Holy Survey Association Busan

The prophet who prophesies the Corona Virus on December 1, 2015,
Listen to prayer,
I walked up.
#Theheavenlychurch

 https://t.co/C9VZPC54er"
47,"@CNN 회개와 거룩함 사역회 BUSAN                                 

코로나바이러스의 심판을 하신
주님은 불구자를 오늘 일으키셨습니다
#TheHeavenlyChurch

 https://t.co/C9VzpC54er","@Cnn repentance and holiness ministry meeting Busan

Judgment of Corona Virus
The Lord caused it today today
#Theheavenlychurch

 https://t.co/C9VZPC54er"
48,"@thehill 회개와 거룩함 사역회 BUSAN                                          

코로나바이러스는 하나님의 심판입니다
#WordAboutRapture
 https://t.co/C66SePbaN4 https://t.co/26fFGSrYDw","@thehill repentance and holiness ministry Busan

Corona Virus is the judgment of God
#Wordaboutrapture
 https://t.co/C66SepBan4 https://t.co/26ffgsrydw"
49,"코로나바이러스는 깨어나라는
회개하라는 주님의 경종임을 
모르십니까?!!
#WordAboutRapture

https://t.co/sVSEJXrLp7 https://t.co/cTVV3YXgA5","Corona Virus wakes up
Repentance of the Lord
Do not know? !!
#Wordaboutrapture

https://t.co/svsejxrlp7 https://t.co/CTVV3YXGA5"
50,"@thehill 회개와 거룩함 사역회 BUSAN                                          #WordAboutRapture
 https://t.co/C66SePbaN4
지금은 코로나바이러스가 있지만
환난때는 악성 종기바이러스가
사람을 죽일 것입니다","@thehill repentance and holiness ministry meeting Busan #WordabOutrapture
 https://t.co/C66Sepban4
Now there is a corona virus
In trouble, malignant boil virus
I will kill people"
51,Fighting Stigma — 코로나19 백신 이어 경구용 알약도 '빈익빈부익부' 우려: 신종 코로나바이러스 감염증(COVID-19·코로나19) 백신처럼 치료제도 국가별로 불평등 현상이 일어날 위험이 제기됐다. 남아프리카 등 일부 국가는 특히 백신접종률도... View article... https://t.co/vIKpdRmCdA,Fighting Stigma - Corona 19 vaccine Oral pills 'Voice Beeks' Concerns: H1Naw Corona virus infection (COVID-19 · Corona 19) The risk of inequality in the treatment system like a vaccine was raised. Some countries such as South Africa are especially vaccinated ... View Article ... https://t.co/vikpdrmcda
52,"@our_moe 장관님께 전달 부탁드립니다 
안녕하세요,국민 들을 자유롭게, 코로나 이전이 일상 생활로 돌리시는게 제일 급하지요*? 코로나 확산방지와 멸종, 
동시에 추진가능한  코로나바이러스 사멸 공기청정기의 사용. 코로나 종식은 가장큰  책무며 치적입니다. 양산지원 부탁드립니다
방상돈 010 5261 4844 https://t.co/AakHLgPCjN","@our_moe Thank you for your delivery
Hello, freely, freely, Corona prior to daily life, is the best? Corona diffusion prevention and extinction,
Use of Corona Virus Death Air Purifiers simultaneously. Corona's end is the biggest and most recent. Thank you for mass production
Donation 010 5261 4844 https://t.co/aakhlgpcjn"
53,"@hanjeoungae_na @dudehowru 장관님.코로나사멸 공기청정기발명가
입니다.코로나 종식, 가능합니다.사멸가 양산만 하면됩니다.전국학교60만대 필요하답니다.맑은 공기속에 숨어있는 독, 코로나바이러스를 먼저 실내에서 부터
방역하고,사멸시켜 최초로 코로나 멸종,
종식시킨 ~코리아 Remove 코로나 구국의 인물로 ~010 5261 4844 https://t.co/kOpJgQtEJI","@hanjeoungae_na @dudehowru Minister's. Corona District Air Purifier Invention
. Corona ends, possible. You can only have a mass production. I need for 600,000 nationwide schools. From a clear air,
The first corona extinction,
Ending ~ Korea Remove Corona Corona's figures ~ 010 5261 4844 https://t.co/kopjgqteji"
54,"@HYOSUK3 @ArthurPark60 지금은 코로나바이러스가 유행중입니다. 이것이 여러분이 주님의 임재안에 있을 때 유익입니다.
#MessageOnRapture
#WeWillWearGloriousBodyAtRapture
#메시아께서_오십니다","@ Hyosuk3 @ arthurpark60 Now the corona virus is fashionable. This is a benefit when you are in the Lord's presence.
#Messageonrapture
#WewillweargloriousBodyAtrrapture
# Messiah comes"
55,"@hanjeoungae_na @dudehowru 장관님, 더 중요한건 코로나 바이러스 로 오염된 공기, 코로나 확진자를 양산하는 그, 코로나 바이러스를 잡는거 아닐까요¿¿¿
실내의 오염돈공기와 코로나바이러스를 함께잡는 코로나바이러스 사멸기 양산을 도와주십시요.  바이러스 트랩 / 방상돈
010 5261 4844 https://t.co/K54pL1KjI5","@Hanjeoungae_na @dudehowru Secretary, more importantly, I would not be able to catch a corona virus that produces polluted with Corona Viruses, Corona.
Help Corona Virus Deals to catch the air and coronavirus with the air and corona virus. Virus Trap / Client Don
010 5261 4844 https://t.co/K54PL1KJI5"
56,"@wonheeryong 확실하고 경쟁력 최상의 투자와 사업권 인수
""코로나바이러스사멸 공기 청정기 사업.""
바아러스 트랩  010 5261 4844 방상돈
 문의 주세요.
메일주소 주시면 정리된 자료 보내드립니다. https://t.co/f9Cze4tGpH","@Wonheeryong certain, competitiveness The best investment and acquisition of business
""Corona Virus Death Air Purifier Business.""
Baccarat Bars 010 5261 4844 Donation
 Please contact us.
You will be able to send the organized data. https://t.co/F9Cze4TGPH"
57,@binmudum 영국이 봉쇄 할 때 문재인이 제일 반대 한 것 아닌가ㅡㅡK방역 어쩌고 저쩌고 하면서 수명 고작 1달 차리를 수년 살아남게 만든 장본인. 사람 한테만 코로나 바이러스가 퍼졌을까ㅡㅡ개나 소나 코로나바이러스가 보기엔 도찐개찐 아냐ㅡㅡ?,"@Binmudum When the UK is blocked, Moon Jae-in is the opposite of the best. I do not know what to do with Corona Viruses."
58,"@haena111111 @junghye09 지금 코로나바이러스가 유행중입니다. 이것이 여러분이 주님의 임재안에 있을 때 유익입니다. #TruthAboutRapture
#한국교회는_회개하라
#메시아께서_오십니다","@ haena111111 @ junghye09 Now Corona Virus is fashionable. This is a benefit when you are in the Lord's presence. #Truthaboutrapture
# Korean church is repentant
# Messiah comes"
59,"@Park_Youngsun 코로나바이러스를 실내에서만이라도 제거하여 학생들이 학교생활을 정상적으로
해야합니다. 저는 해결책을 갖고있고요.
메일주소 주시면 자료보내 드리겠습니다.
010 5261 4844 전화 부탁 드립니다
감사합니다","@Park_Youngsun removes coronavirus alone in the room, so students normally
You should. I have a solution.
If you get a mail address, we will send it to the data.
010 5261 4844 Thank you for your call
thank you"
60,"명성황후(국모,삼성전자 회장)는 
캐시비 교통카드와 티머니를 이용하고있습니다

「코로나 상생 국민지원금」이란?

코로나바이러스감염증-19(COVID-19) 장기화로 피해를 입은 다수의 국민들을 두텁게 지원하기 위하여 지급하는 지원금으로 가구별 ’21.6월 건강보험료가 국민지원금 건강보험료 기준 https://t.co/h5r0eXNx4r","After the meridian,
We are using cash ratio traffic cards and tees

What is ""Corona win-win national grant""?

Corona Viral Reconciliation -19 (COVID-19) Furniture by furniture to support a number of people who are damaged by long-termization of a large number of people who are paid to support a number of people '21.6 Health Investigation"
61,"회개와 거룩함 사역회 BUSAN                                     

지금 코로나바이러스가 하나님의
심판이라고 하나님께서 수없이
이야기를 하셨건만 그들은
회개는 커녕 더 번영복음에만
열중합니다
지옥을 자초하고 있습니다
#HourOfRepentance
#회개의시간
https://t.co/WWBMdGwnNx https://t.co/R0w6TXPgKg","Repentation and Holy Split Busan

Now Corona Virus is God's
Judgment is God,
They talked, but they
Rather than repentance,
Top
I have a hell.
#Hurofrepentance
# Time of repentance
https://t.co/wwbmdgwnnx https://t.co/r0w6txpgkg"
62,"@ABC 회개와 거룩함 사역회 BUSAN                                     #HourOfRepentance
https://t.co/WWBMdGwnNx
코로나바이러스는 하나님의
심판입니다
지구에 [엘리야와 모세]을 통해
심판과 치유를 행하시고
계십니다","@ABC repentance and holiness ministry government Busan #hurofrepentance
https://t.co/wbmdgwnnx
Corona Virus is God's
The referee
Through [Elijah and Moses] on the Earth
Judgment and healing
Your life"
63,"@lg9179 #HourOfRepentance
주님께서는 코로나바이러스를 통해 이 세대에 경고하고 계십니다.","@ lg9179 #hurofrepentance
The Lord is warning to this generation through corona viruses."
64,"@BBCWorld 회개와 거룩함 사역회 BUSAN                                       

모든 열방이 불구자를 치유하신
주님께서 코로나바이러스로
심판하신 것을 알게 하소서
회개케 하소서!!!

#RaptureRevelation
#휴거계시
#한국교회는회개하십시오
 
https://t.co/bYL750P20n https://t.co/yTci5PeuuY","@Bbcworld repentance and hollow ministry meeting Busan

All nations have healed
The Lord is a coronavirus
Let's know what you're judging.
Repentance!

#Rapturerevice
# Retry Revelation
# Repent of Korean churches
 
https://t.co/byl750p20n https://t.co/ytci5peuuy"
65,"@nhk_news 회개와 거룩함 사역회 BUSAN                                       

코로나바이러스는 심판입니다
지진들도 경고입니다
환난때는 끔찍한 심판입니다
#RaptureRevelation
#휴거계시
 https://t.co/bYL750P20n","@nhk_news repentance and holiness ministries Busan

Corona Virus is a judgment
Earthquakes are also warnings.
It is a terrible judgment when trouble
#Rapturerevice
# Retry Revelation
 https://t.co/BYL750P20N"
66,"@YahooNewsTopics 회개와 거룩함 사역회 BUSAN                                       

코로나바이러스를 예언하고
동일본 지진도 예언했던
말라기 4장 [엘리야&amp;모세]의
말씀을 듣고 따르십시오
#RaptureRevelation
#휴거계시
 https://t.co/bYL750P20n","@Yahoonewstopics Repentation and Holy Survey Association Busan

Prophecy of corona virus
The Japanese earthquake prophesied
Chapter 4 [Elijah & amp; Moses]
Listen to the Word
#Rapturerevice
# Retry Revelation
 https://t.co/BYL750P20N"
67,"@BBCNews 회개와 거룩함 사역회 BUSAN                                       #RaptureRevelation

 https://t.co/bYL750P20n
코로나바이러스를 예언하고 ,
지구를 친 말라기 4장 [엘리야&amp;모세]가 주님의 심판을 
할 권세를 받았습니다","@Bbcnews repentance and holiness ministry meeting Busan #rapturerevelation

 https://t.co/BYL750P20N
Prophecy of Corona Virus,
Chapter 4 [Elijah & amp; Moses]
I received the authority to do"
68,"@MSNBC @FrankFigliuzzi1 회개와 거룩함 사역회 BUSAN                                       #RaptureRevelation

 https://t.co/bYL750P20n
코로나바이러스를 2015년12월
1일에 예언한 말라기 4장 [엘리야&amp;모세]를 두려워 해야합니다","@Msnbc @ frankfigliuzzi1 Repentation and Holy Ministry Busan #rapturerevice

 https://t.co/BYL750P20N
Corona Virus December 2015
The Malachi, who predicted on the first day, should be afraid of Elijah & amp; Moses]"
