,Unnamed: 0,Text,new_text,languages,translated,new_languages,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun,subjectivity,text_type
19,19,covid-19 : vaccination updates 09.02.2022 number people who have received first dose - gma: 13 atolls: 8 number people who have received second dose - gma: 33 atolls: 15 number people who have received booster dose - gma: 601 atolls: 2473,covid-19 : vaccination updates 09.02.2022 number people who have received first dose - gma: 13 atolls: 8 number people who have received second dose - gma: 33 atolls: 15 number people who have received booster dose - gma: 601 atolls: 2473,ENGLISH,covid-19 : vaccination updates 09.02.2022 number people who have received first dose - gma: 13 atolls: 8 number people who have received second dose - gma: 33 atolls: 15 number people who have received booster dose - gma: 601 atolls: 2473,ENGLISH,"[('couid', 'NN'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('updates', 'NNS'), ('nine', 'CD'), ('two', 'CD'), ('number', 'NN'), ('people', 'NNS'), ('who', 'WP'), ('have', 'VBP'), ('received', 'VBN'), ('first', 'RB'), ('dose', 'JJ'), ('ma', 'NN'), ('thirteen', 'NN'), ('atolls', 'NNS'), ('eight', 'CD'), ('number', 'NN'), ('people', 'NNS'), ('who', 'WP'), ('have', 'VBP'), ('received', 'VBN'), ('second', 'JJ'), ('dose', 'JJ'), ('ma', 'NN'), ('atolls', 'NNS'), ('fifteen', 'JJ'), ('number', 'NN'), ('people', 'NNS'), ('who', 'WP'), ('have', 'VBP'), ('received', 'VBN'), ('booster', 'NN'), ('dose', 'NN'), ('ma', 'NN'), ('atolls', 'NNS')]","['couid', 'nineteen', 'vaccination', 'update', 'nine', 'two', 'number', 'people', 'received', 'first', 'dose', 'thirteen', 'atoll', 'eight', 'number', 'people', 'received', 'second', 'dose', 'atoll', 'fifteen', 'number', 'people', 'received', 'booster', 'dose', 'atoll']","['couid', 'vaccination', 'update', 'number', 'people', 'receive', 'first', 'dose', 'atoll', 'number', 'people', 'receive', 'second', 'dose', 'atoll', 'number', 'people', 'receive', 'atoll']","['couid', 'vaccination', 'number', 'people', 'atoll', 'number', 'people', 'atoll', 'number', 'people', 'atoll']",0.16666666666666666,objective
20,20,passengers aged 15 above require full vaccination against covid-19 order undertake inbound flights pakistan.,passengers aged 15 above require full vaccination against covid-19 order undertake inbound flights pakistan.,ENGLISH,passengers aged 15 above require full vaccination against covid-19 order undertake inbound flights pakistan.,ENGLISH,"[('passengers', 'NNS'), ('aged', 'VBD'), ('fifteen', 'JJ'), ('above', 'IN'), ('require', 'NN'), ('full', 'JJ'), ('vaccination', 'NN'), ('against', 'IN'), ('couid', 'NN'), ('nineteen', 'JJ'), ('order', 'NN'), ('undertake', 'NN'), ('inbound', 'NN'), ('flights', 'NNS'), ('pakistan', 'NN')]","['passenger', 'aged', 'fifteen', 'require', 'full', 'vaccination', 'couid', 'nineteen', 'order', 'undertake', 'inbound', 'flight', 'pakistan']","['passenger', 'age', 'require', 'full', 'vaccination', 'couid', 'order', 'undertake', 'inbound', 'flight']","['passenger', 'vaccination', 'couid', 'order', 'flight']",0.35000000000000003,objective
22,22,"total number active covid-19 cases punjab as feb 10: 5,771 total vaccination first second dose punjab day feb 10 : 2,87,356#pb , , ,","total number active covid-19 cases punjab as feb 10: 5,771 total vaccination first second dose punjab day feb 10 : 2,87,356#pb , , ,",ENGLISH,"total number active covid-19 cases punjab as feb 10: 5,771 total vaccination first second dose punjab day feb 10 : 2,87,356#pb , , ",ENGLISH,"[('total', 'JJ'), ('number', 'NN'), ('active', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('cases', 'NNS'), ('punjab', 'VBP'), ('as', 'IN'), ('feb', 'NN'), ('ten', 'CD'), ('five', 'CD'), ('total', 'JJ'), ('vaccination', 'NN'), ('first', 'RB'), ('second', 'JJ'), ('dose', 'JJ'), ('punjab', 'NNS'), ('day', 'NN'), ('feb', 'VBP'), ('ten', 'CD'), ('two', 'CD'), ('pub', 'NN')]","['total', 'number', 'active', 'couid', 'nineteen', 'case', 'punjab', 'feb', 'ten', 'five', 'total', 'vaccination', 'first', 'second', 'dose', 'punjab', 'day', 'feb', 'ten', 'two', 'pub']","['total', 'number', 'active', 'couid', 'case', 'punjab', 'feb', 'total', 'vaccination', 'first', 'second', 'dose', 'punjab', 'day', 'pub']","['number', 'couid', 'case', 'vaccination', 'day', 'pub']",0.4866666666666667,objective
23,23,india’s #covid19 vaccination coverage has crossed 171 crore 73 lakh today more than 43 lakh vaccine doses administered till 7 pm today. more than 1 crore 64 lakh precaution doses identified categories beneficiaries covid vaccination have been administered so far.,india’s #covid19 vaccination coverage has crossed 171 crore 73 lakh today more than 43 lakh vaccine doses administered till 7 pm today. more than 1 crore 64 lakh precaution doses identified categories beneficiaries covid vaccination have been administered so far.,ENGLISH,india’s #covid19 vaccination coverage has crossed 171 crore 73 lakh today more than 43 lakh vaccine doses administered till 7 pm today. more than 1 crore 64 lakh precaution doses identified categories beneficiaries covid vaccination have been administered so far.,ENGLISH,"[('india', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('vaccination', 'NN'), ('coverage', 'NN'), ('has', 'VBZ'), ('crossed', 'VBN'), ('crore', 'NN'), ('lakh', 'NN'), ('today', 'NN'), ('more', 'JJR'), ('than', 'IN'), ('lakh', 'JJR'), ('vaccine', 'NN'), ('doses', 'NNS'), ('administered', 'VBN'), ('till', 'RB'), ('seven', 'CD'), ('am', 'VBP'), ('today', 'NN'), ('more', 'JJR'), ('than', 'IN'), ('one', 'CD'), ('crore', 'NN'), ('lakh', 'NN'), ('precaution', 'NN'), ('doses', 'NNS'), ('identified', 'VBN'), ('categories', 'NNS'), ('beneficiaries', 'NNS'), ('couid', 'VBP'), ('vaccination', 'NN'), ('have', 'VBP'), ('been', 'VBN'), ('administered', 'VBN'), ('so', 'RB'), ('far', 'RB')]","['india', 'vaccination', 'coverage_crossed', 'crore', 'lakh', 'today', 'lakh', 'vaccine', 'dos', 'administered', 'till', 'seven', 'today', 'one', 'crore', 'lakh', 'precaution', 'dos', 'identified', 'category', 'beneficiary', 'couid', 'vaccination', 'administered', 'far']","['vaccine', 'dose', 'administer', 'today', 'precaution', 'dose', 'identify', 'category', 'beneficiary', 'vaccination', 'administer', 'far']","['vaccine', 'dose', 'today', 'precaution', 'category', 'beneficiary', 'vaccination']",0.6666666666666666,objective
25,25,"#covid19 vaccination drive: around 172 crore covid vaccine doses administered india, says govt","#covid19 vaccination drive: around 172 crore covid vaccine doses administered india, says govt",ENGLISH,"#covid19 vaccination drive: around 172 crore covid vaccine doses administered india, says govt",ENGLISH,"[('vaccination', 'NN'), ('drive', 'NN'), ('around', 'IN'), ('crore', 'JJR'), ('couid', 'NN'), ('vaccine', 'NN'), ('doses', 'NNS'), ('administered', 'VBN'), ('india', 'VBP'), ('says', 'VBZ'), ('govt', 'NN')]","['vaccination', 'drive', 'around', 'crore', 'couid', 'vaccine', 'dos', 'administered', 'india', 'say', 'govt']","['drive', 'around', 'couid', 'vaccine', 'dose', 'administer', 'say']","['couid', 'vaccine', 'dose']",0.0,objective
28,28,"vaccination against covid- 19 is necessity today’s scenario. hoping this problem ends soon, everyone remains safe secure.","vaccination against covid- 19 is necessity today’s scenario. hoping this problem ends soon, everyone remains safe secure.",ENGLISH,"vaccination against covid- 19 is necessity today’s scenario. hoping this problem ends soon, everyone remains safe secure.",ENGLISH,"[('vaccination', 'NN'), ('against', 'IN'), ('couid', 'NN'), ('nineteen', 'NN'), ('is', 'VBZ'), ('necessity', 'JJ'), ('today', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('scenario', 'NN'), ('hoping', 'VBG'), ('this', 'DT'), ('problem', 'NN'), ('ends', 'VBZ'), ('soon', 'RB'), ('everyone', 'NN'), ('remains', 'VBZ'), ('safe', 'JJ'), ('secure', 'NN')]","['vaccination', 'couid', 'nineteen', 'necessity', 'today', 'scenario', 'hoping', 'problem', 'end', 'soon', 'everyone', 'remains', 'safe', 'secure']","['necessity', 'today', 'scenario', 'hope', 'problem', 'end', 'soon', 'remain', 'safe', 'secure']","['necessity', 'today', 'scenario', 'problem']",0.55,subjective
31,31,"booster vaccin have been shown improve body's resistance covid-19,offering extra dose protection against virus pfizer is one most commonly used vaccines each course vaccination processbut what side effects should you expect","booster vaccin have been shown improve body's resistance covid-19,offering extra dose protection against virus pfizer is one most commonly used vaccines each course vaccination processbut what side effects should you expect",ENGLISH,"booster vaccin have been shown improve body's resistance covid-19,offering extra dose protection against virus pfizer is one most commonly used vaccines each course vaccination processbut what side effects should you expect",ENGLISH,"[('booster', 'NN'), ('vaccine', 'NN'), ('have', 'VBP'), ('been', 'VBN'), ('shown', 'VBN'), ('improve', 'IN'), ('body', 'NN'), ('i', 'JJ'), ('resistance', 'NN'), ('couid', 'NN'), ('nineteen', 'JJ'), ('offering', 'VBG'), ('extra', 'JJ'), ('dose', 'JJ'), ('protection', 'NN'), ('against', 'IN'), ('virus', 'NN'), ('pfizer', 'NN'), ('is', 'VBZ'), ('one', 'CD'), ('most', 'RBS'), ('commonly', 'RB'), ('used', 'JJ'), ('vaccines', 'NNS'), ('each', 'DT'), ('course', 'NN'), ('vaccination', 'NN'), ('processbut', 'VBZ'), ('what', 'WP'), ('side', 'NN'), ('effects', 'NNS'), ('should', 'MD'), ('you', 'PRP'), ('expect', 'VB')]","['booster', 'vaccine', 'shown', 'improve', 'body', 'resistance', 'couid', 'nineteen', 'offering', 'extra', 'dose', 'protection', 'virus', 'pfizer', 'one', 'commonly', 'used', 'vaccine', 'course', 'vaccination', 'processbut', 'side_effect', 'expect']","['improve', 'body', 'resistance', 'couid', 'offer', 'extra', 'protection', 'commonly', 'use', 'vaccine', 'course', 'vaccination', 'processbut', 'side_effect', 'expect']","['improve', 'body', 'resistance', 'couid', 'protection', 'vaccine', 'vaccination', 'processbut', 'side_effect']",0.3666666666666667,objective
33,33,very surprising that unvaccinated population &lt;15yrs is forcefully exposed attend offline classes &amp; examination present covid situation. no-one is cares about their safety. why can't offline classes &amp; examination begin after covid vaccination them as well.,very surprising that unvaccinated population &lt;15yrs is forcefully exposed attend offline classes &amp; examination present covid situation. no-one is cares about their safety. why can't offline classes &amp; examination begin after covid vaccination them as well.,ENGLISH,very surprising that unvaccinated population &lt;15yrs is forcefully exposed attend offline classes &amp; examination present covid situation. no-one is cares about their safety. why cannot offline classes &amp; examination begin after covid vaccination them as well.,ENGLISH,"[('very', 'RB'), ('surprising', 'JJ'), ('that', 'IN'), ('vaccinated', 'JJ'), ('population', 'NN'), ('it', 'PRP'), ('yrs', 'VBZ'), ('is', 'VBZ'), ('forcefully', 'RB'), ('exposed', 'VBN'), ('attend', 'JJ'), ('offline', 'NN'), ('classes', 'NNS'), ('amp', 'VBP'), ('examination', 'NN'), ('present', 'JJ'), ('couid', 'NN'), ('situation', 'NN'), ('no', 'DT'), ('one', 'NN'), ('is', 'VBZ'), ('cares', 'VBZ'), ('about', 'IN'), ('their', 'PRP$'), ('safety', 'NN'), ('why', 'WRB'), ('cannot', 'NN'), ('offline', 'NN'), ('classes', 'VBZ'), ('amp', 'JJ'), ('examination', 'NN'), ('begin', 'NN'), ('after', 'IN'), ('couid', 'JJ'), ('vaccination', 'NN'), ('them', 'PRP'), ('as', 'RB'), ('well', 'RB')]","['surprising', 'vaccinated', 'population', 'yr', 'forcefully', 'exposed', 'attend', 'offline', 'class', 'amp', 'examination', 'present', 'couid', 'situation', 'one', 'care', 'safety', 'cannot', 'offline', 'class', 'amp', 'examination', 'begin', 'couid', 'vaccination', 'well']","['surprising', 'vaccinated', 'population', 'yrs', 'forcefully', 'expose', 'attend', 'offline', 'class', 'amp', 'examination', 'present', 'couid', 'situation', 'care', 'safety', 'can', 'offline', 'class', 'amp', 'examination', 'begin', 'couid', 'vaccination', 'well']","['population', 'yrs', 'offline', 'class', 'amp', 'examination', 'couid', 'situation', 'safety', 'class', 'amp', 'examination', 'couid', 'vaccination']",0.325,subjective
34,34,"some pics peer educators seen gujarat, haryana, punjab uttarakhand under #rksk trained spread health related awareness at home, schools community incl covid vaccination. well done👏🏻👏🏻","some pics peer educators seen gujarat, haryana, punjab uttarakhand under #rksk trained spread health related awareness at home, schools community incl covid vaccination. well doneclapping_handslight_skin_toneclapping_handslight_skin_tone",ENGLISH,"some pics peer educators seen gujarat, haryana, punjab uttarakhand under #rksk trained spread health related awareness at home, schools community incl covid vaccination. well doneclapping_handslight_skin_toneclapping_handslight_skin_tone",ENGLISH,"[('some', 'DT'), ('pics', 'NNS'), ('peer', 'VBP'), ('educators', 'NNS'), ('seen', 'VBN'), ('gujaratis', 'NN'), ('aryans', 'NNS'), ('punjab', 'VBP'), ('uttarakhand', 'JJ'), ('under', 'IN'), ('risk', 'NN'), ('trained', 'VBN'), ('spread', 'JJ'), ('health', 'NN'), ('related', 'VBN'), ('awareness', 'NN'), ('at', 'IN'), ('home', 'NN'), ('schools', 'NNS'), ('community', 'NN'), ('inch', 'VBP'), ('couid', 'NN'), ('vaccination', 'NN'), ('well', 'RB')]","['pic', 'peer', 'educator', 'seen', 'gujarati', 'aryan', 'punjab', 'uttarakhand', 'risk', 'trained', 'spread', 'health', 'related', 'awareness', 'home', 'school', 'community', 'inch', 'couid', 'vaccination', 'well']","['educator', 'see', 'punjab', 'uttarakhand', 'risk', 'train', 'spread', 'health', 'related', 'awareness', 'home', 'school', 'community', 'inch', 'couid', 'vaccination', 'well']","['educator', 'risk', 'health', 'awareness', 'home', 'school', 'community', 'inch', 'couid', 'vaccination']",0.4,subjective
35,35,covid-19 influenza coinfection: importance vaccination,covid-19 influenza coinfection: importance vaccination,ENGLISH,covid-19 influenza coinfection: importance vaccination,ENGLISH,"[('couid', 'NN'), ('nineteen', 'JJ'), ('influenza', 'JJ'), ('confection', 'NN'), ('importance', 'NN'), ('vaccination', 'NN')]","['couid', 'nineteen', 'influenza', 'confection', 'importance', 'vaccination']","['confection', 'importance', 'vaccination']","['confection', 'importance', 'vaccination']",0.0,objective
36,36,"covid vaccination update: vaccination figure india crossed 172 crores, more than 43 lakh people took vaccine 24 hours","covid vaccination update: vaccination figure india crossed 172 crores, more than 43 lakh people took vaccine 24 hours",ENGLISH,"covid vaccination update: vaccination figure india crossed 172 crores, more than 43 lakh people took vaccine 24 hours",ENGLISH,"[('couid', 'NN'), ('vaccination', 'NN'), ('update', 'JJ'), ('vaccination', 'NN'), ('figure', 'NN'), ('india', 'NN'), ('crossed', 'VBD'), ('crores', 'NNS'), ('more', 'JJR'), ('than', 'IN'), ('lakh', 'JJ'), ('people', 'NNS'), ('took', 'VBD'), ('vaccine', 'JJ'), ('twentyfour', 'NN'), ('hours', 'NNS')]","['couid', 'vaccination', 'update', 'vaccination', 'figure', 'india', 'crossed', 'crore', 'lakh', 'people', 'took', 'vaccine', 'twentyfour_hours']","['cross', 'crore', 'people', 'take', 'vaccine']","['crore', 'people', 'vaccine']",0.5,objective
