index,Text,pos_tagged_words,new_languages,words_list,new_text,scores,compound,sentiment_vader,,,,,,
57218,3/3 sri n ram published several news cartoons against indian vaccine causing much fear among citizens. it is very much unbecoming this pandemic. he is jealous sadguru pity is that he is one top 50 anti hindu people world,"[('three', 'CD'), ('three', 'CD'), ('sri', 'NN'), ('i', 'NN'), ('ram', 'VBP'), ('published', 'VBN'), ('several', 'JJ'), ('news', 'NN'), ('cartoons', 'NNS'), ('against', 'IN'), ('indian', 'JJ'), ('vaccine', 'NN'), ('causing', 'VBG'), ('much', 'JJ'), ('fear', 'NN'), ('among', 'IN'), ('citizens', 'NNS'), ('it', 'PRP'), ('is', 'VBZ'), ('very', 'RB'), ('much', 'JJ'), ('unbecoming', 'NN'), ('this', 'DT'), ('pandemic', 'NN'), ('he', 'PRP'), ('is', 'VBZ'), ('jealous', 'JJ'), ('saegiru', 'JJ'), ('pity', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('one', 'CD'), ('top', 'NN'), ('fifty', 'NN'), ('anti', 'JJ'), ('hindu', 'NN'), ('people', 'NNS'), ('world', 'NN')]",ENGLISH,"['three', 'three', 'sri', 'ram', 'publish', 'several', 'news', 'cartoon', 'indian', 'vaccine', 'cause', 'much', 'fear', 'among', 'citizen', 'much', 'unbecoming', 'pandemic', 'jealous', 'saegiru', 'pity', 'one', 'top', 'fifty', 'anti', 'hindu', 'people', 'world']",three three sri ram publish several news cartoon indian vaccine cause much fear among citizen much unbecoming pandemic jealous saegiru pity one top fifty anti hindu people world,"{'neg': 0.235, 'neu': 0.725, 'pos': 0.04, 'compound': -0.836}",-0.836,negative,,,,,,
57231,"so when all political parties were telling public not use modi vaccine back jan'21 - we should've let vaccines lying unused/underutilized till mar due these anti-human propoganda, go waste but not help others dying without any vaccine their health workers","[('so', 'RB'), ('when', 'WRB'), ('all', 'DT'), ('political', 'JJ'), ('parties', 'NNS'), ('we', 'PRP'), ('are', 'VBP'), ('telling', 'VBG'), ('public', 'JJ'), ('not', 'RB'), ('use', 'IN'), ('modi', 'JJ'), ('vaccine', 'NN'), ('back', 'RB'), ('jan', 'JJ'), ('twentynine', 'NN'), ('we', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('let', 'VBN'), ('vaccines', 'NNS'), ('lying', 'VBG'), ('unused', 'JJ'), ('underutilized', 'JJ'), ('till', 'NN'), ('mar', 'NN'), ('due', 'JJ'), ('these', 'DT'), ('anti', 'JJ'), ('human', 'NN'), ('propaganda', 'NN'), ('go', 'VBP'), ('waste', 'NN'), ('but', 'CC'), ('not', 'RB'), ('help', 'VB'), ('others', 'NNS'), ('dying', 'VBG'), ('without', 'IN'), ('any', 'DT'), ('vaccine', 'VBP'), ('their', 'PRP$'), ('health', 'NN'), ('workers', 'NNS')]",ENGLISH,"['political', 'party', 'tell', 'public', 'not', 'use', 'modi', 'vaccine', 'back', 'jan', 'twentynine', 'let', 'vaccine', 'lie', 'unused', 'underutilize', 'till', 'mar', 'due', 'anti', 'human', 'propaganda', 'go', 'waste', 'not', 'help', 'other', 'die', 'without', 'vaccine', 'health', 'worker']",political party tell public not use modi vaccine back jan twentynine let vaccine lie unused underutilize till mar due anti human propaganda go waste not help other die without vaccine health worker,"{'neg': 0.159, 'neu': 0.798, 'pos': 0.042, 'compound': -0.6294}",-0.6294,negative,,,,,,
57232,"entire narrative is anti govt you smashed vacvination drive all way n discouraged crores your viewers by declaring vaccine as weapon destruction n even then you didn't feel shame vaccinating youself n displaying it. come on, do justice your profession or leave it.","[('entire', 'JJ'), ('narrative', 'NN'), ('is', 'VBZ'), ('anti', 'JJ'), ('govt', 'NN'), ('you', 'PRP'), ('smashed', 'VBD'), ('vaccination', 'NN'), ('drive', 'NN'), ('all', 'DT'), ('way', 'NN'), ('i', 'NNS'), ('discouraged', 'VBD'), ('crores', 'NNS'), ('your', 'PRP$'), ('viewers', 'NNS'), ('by', 'IN'), ('declaring', 'VBG'), ('vaccine', 'NN'), ('as', 'IN'), ('weapon', 'NN'), ('destruction', 'NN'), ('i', 'RB'), ('even', 'RB'), ('then', 'RB'), ('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('feel', 'VB'), ('shame', 'JJ'), ('vaccinating', 'VBG'), ('youself', 'PRP'), ('i', 'JJ'), ('displaying', 'VBG'), ('it', 'PRP'), ('come', 'VB'), ('on', 'IN'), ('do', 'JJ'), ('justice', 'VB'), ('your', 'PRP$'), ('profession', 'NN'), ('or', 'CC'), ('leave', 'VB'), ('it', 'PRP')]",ENGLISH,"['entire', 'narrative', 'anti', 'govt', 'smashed', 'vaccination', 'drive', 'way', 'discourage', 'crore', 'viewer', 'declare', 'vaccine', 'weapon', 'destruction', 'even', 'not', 'feel', 'shame', 'vaccinate', 'youself', 'display', 'come', 'justice', 'profession', 'leave']",entire narrative anti govt smashed vaccination drive way discourage crore viewer declare vaccine weapon destruction even not feel shame vaccinate youself display come justice profession leave,"{'neg': 0.237, 'neu': 0.646, 'pos': 0.117, 'compound': -0.6305}",-0.6305,negative,,,,,,
57268,you take it or are you another anti vaccine fool putting others at risk,"[('you', 'PRP'), ('take', 'VBP'), ('it', 'PRP'), ('or', 'CC'), ('are', 'VBP'), ('you', 'PRP'), ('another', 'DT'), ('anti', 'JJ'), ('vaccine', 'NN'), ('fool', 'NN'), ('putting', 'VBG'), ('others', 'NNS'), ('at', 'IN'), ('risk', 'NN')]",ENGLISH,"['take', 'another', 'anti', 'vaccine', 'fool', 'put', 'other', 'risk']",take another anti vaccine fool put other risk,"{'neg': 0.399, 'neu': 0.601, 'pos': 0.0, 'compound': -0.743}",-0.743,negative,,,,,,
57311,salam. i got tested anti spike totle antibody after 27day 2nd shit it less then 0.04. means vaccine didn't work i have same or even high risk then non vaccinated person.,"[('salam', 'NN'), ('i', 'NN'), ('got', 'VBD'), ('tested', 'VBN'), ('anti', 'RB'), ('spike', 'JJ'), ('title', 'NN'), ('antibody', 'NN'), ('after', 'IN'), ('day', 'NN'), ('and', 'CC'), ('shit', 'VB'), ('it', 'PRP'), ('less', 'JJR'), ('then', 'RB'), ('zero', 'CD'), ('four', 'CD'), ('means', 'NNS'), ('vaccine', 'VBP'), ('did', 'VBD'), ('not', 'RB'), ('work', 'NN'), ('i', 'RB'), ('have', 'VBP'), ('same', 'JJ'), ('or', 'CC'), ('even', 'RB'), ('high', 'JJ'), ('risk', 'NN'), ('then', 'RB'), ('non', 'RB'), ('vaccinated', 'VBN'), ('person', 'NN')]",ENGLISH,"['salam', 'get', 'test', 'anti', 'spike', 'title', 'antibody', 'day', 'shit', 'less', 'zero', 'four', 'mean', 'vaccine', 'not', 'work', 'even', 'high', 'risk', 'non', 'vaccinated', 'person']",salam get test anti spike title antibody day shit less zero four mean vaccine not work even high risk non vaccinated person,"{'neg': 0.235, 'neu': 0.765, 'pos': 0.0, 'compound': -0.7906}",-0.7906,negative,,,,,,
57314,"finally queue system has been reinstated by destroying pure booking system. it was national conspiracy demand ""vaccine all"" , despite knowing lesser availability vaccines. it was surely anti-aircraft national campaign.","[('finally', 'RB'), ('queue', 'JJ'), ('system', 'NN'), ('has', 'VBZ'), ('been', 'VBN'), ('reinstated', 'VBN'), ('by', 'IN'), ('destroying', 'VBG'), ('pure', 'NN'), ('booking', 'VBG'), ('system', 'NN'), ('it', 'PRP'), ('was', 'VBD'), ('national', 'JJ'), ('conspiracy', 'NN'), ('demand', 'NN'), ('vaccine', 'NN'), ('all', 'DT'), ('despite', 'IN'), ('knowing', 'VBG'), ('lesser', 'JJR'), ('availability', 'NN'), ('vaccines', 'NNS'), ('it', 'PRP'), ('was', 'VBD'), ('surely', 'RB'), ('anti', 'JJ'), ('aircraft', 'NNS'), ('national', 'JJ'), ('campaign', 'NN')]",ENGLISH,"['finally', 'queue', 'system', 'reinstate', 'destroy', 'pure', 'booking', 'system', 'national', 'conspiracy', 'demand', 'vaccine', 'despite', 'know', 'less', 'availability', 'vaccine', 'surely', 'anti', 'aircraft', 'national', 'campaign']",finally queue system reinstate destroy pure booking system national conspiracy demand vaccine despite know less availability vaccine surely anti aircraft national campaign,"{'neg': 0.234, 'neu': 0.687, 'pos': 0.08, 'compound': -0.6808}",-0.6808,negative,,,,,,
57337,"they couldn't ask govt postpone kumbha mela or election rallies or couldn't ask uniform pricing vaccines before demolishing bharat. now as usual talking about ""anti bharat"" . #systemहीsarkar #system #modisarkarhisystemhai","[('they', 'PRP'), ('could', 'MD'), ('not', 'RB'), ('ask', 'VB'), ('govt', 'NN'), ('postpone', 'NN'), ('rumba', 'NN'), ('mela', 'NN'), ('or', 'CC'), ('election', 'NN'), ('rallies', 'NNS'), ('or', 'CC'), ('could', 'MD'), ('not', 'RB'), ('ask', 'VB'), ('uniform', 'JJ'), ('pricing', 'NN'), ('vaccines', 'NNS'), ('before', 'IN'), ('demolishing', 'VBG'), ('bharat', 'NN'), ('now', 'RB'), ('as', 'IN'), ('usual', 'JJ'), ('talking', 'VBG'), ('about', 'IN'), ('anti', 'NN'), ('bharat', 'NN'), ('system', 'NN'), ('i', 'JJ'), ('sarkar', 'NN'), ('system', 'NN'), ('modisarkarhisystemhai', 'NN')]","ENGLISH, HINDI, Unknown","['could', 'not', 'ask', 'govt', 'postpone', 'rumba', 'mela', 'election', 'rally', 'could', 'not', 'ask', 'uniform', 'pricing', 'vaccine', 'demolish', 'bharat', 'usual', 'talk', 'anti', 'bharat', 'system', 'sarkar', 'system', 'modisarkarhisystemhai']",could not ask govt postpone rumba mela election rally could not ask uniform pricing vaccine demolish bharat usual talk anti bharat system sarkar system modisarkarhisystemhai,"{'neg': 0.074, 'neu': 0.872, 'pos': 0.054, 'compound': -0.1615}",-0.1615,negative,,,,,,
57340,all those who said anti-national when ppl were criticizing modi all those anti-nationals are patriots..the real anti-national is modi bcz he dint care abt ppl india n gave away vaccine others n indians r now left suffer. 🙏 #covid19india #coronasecondwave #covidsos,"[('all', 'PDT'), ('those', 'DT'), ('who', 'WP'), ('said', 'VBD'), ('anti', 'JJ'), ('national', 'JJ'), ('when', 'WRB'), ('pal', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('criticizing', 'VBG'), ('modi', 'IN'), ('all', 'PDT'), ('those', 'DT'), ('anti', 'JJ'), ('nationals', 'NNS'), ('are', 'VBP'), ('patriots', 'JJ'), ('i', 'IN'), ('the', 'DT'), ('real', 'JJ'), ('anti', 'JJ'), ('national', 'JJ'), ('is', 'VBZ'), ('modi', 'JJ'), ('biz', 'NN'), ('he', 'PRP'), ('dint', 'VBZ'), ('care', 'NN'), ('abt', 'JJ'), ('pal', 'JJ'), ('india', 'NN'), ('i', 'NN'), ('gave', 'VBD'), ('away', 'RB'), ('vaccine', 'JJ'), ('others', 'NNS'), ('i', 'VBP'), ('indians', 'NNS'), ('i', 'VBP'), ('now', 'RB'), ('left', 'VBN'), ('suffer', 'NN'), ('coronasecondwave', 'NN'), ('covidsos', 'NN')]",ENGLISH,"['say', 'anti', 'national', 'pal', 'criticize', 'modi', 'anti', 'national', 'patriot', 'real', 'anti', 'national', 'modi', 'dint', 'care', 'pal', 'india', 'give', 'away', 'vaccine', 'other', 'indians', 'leave', 'suffer', 'coronasecondwave', 'covidsos']",say anti national pal criticize modi anti national patriot real anti national modi dint care pal india give away vaccine other indians leave suffer coronasecondwave covidsos,"{'neg': 0.136, 'neu': 0.792, 'pos': 0.072, 'compound': -0.4215}",-0.4215,negative,,,,,,
57359,"misinformation, chaos, nonsensical arguments, fakes, lies, anti vaccine speeches so on....","[('misinformation', 'NN'), ('chaos', 'NN'), ('nonsensical', 'JJ'), ('arguments', 'NNS'), ('fakes', 'NNS'), ('lies', 'VBZ'), ('anti', 'JJ'), ('vaccine', 'NN'), ('speeches', 'NNS'), ('so', 'RB'), ('on', 'IN')]",ENGLISH,"['misinformation', 'chaos', 'nonsensical', 'argument', 'fake', 'lie', 'anti', 'vaccine', 'speech']",misinformation chaos nonsensical argument fake lie anti vaccine speech,"{'neg': 0.769, 'neu': 0.231, 'pos': 0.0, 'compound': -0.9393}",-0.9393,negative,,,,,,
57393,"#uttarpradesh #india woman given anti-rabies vaccine instead #covid19india vaccine claims 72-year-old anarkali shamli, up","[('uttarpradesh', 'JJ'), ('india', 'NN'), ('woman', 'NN'), ('given', 'VBN'), ('anti', 'JJ'), ('rabies', 'NNS'), ('vaccine', 'VBP'), ('instead', 'RB'), ('vaccine', 'NN'), ('claims', 'NNS'), ('year', 'NN'), ('old', 'JJ'), ('anarkali', 'NN'), ('shall', 'MD'), ('up', 'RP')]",ENGLISH,"['uttarpradesh', 'india', 'woman', 'give', 'anti', 'rabie', 'vaccine', 'instead', 'vaccine', 'claim', 'year_old', 'anarkali', 'shall']",uttarpradesh india woman give anti rabie vaccine instead vaccine claim year_old anarkali shall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,,,,
57395,"there is no vaccine few viruses like you &amp; your anti national colleagues. while world is acclaiming india's benevolent contributions, people like you, filled with hatred &amp; jealousy, are intolerant objectivity. you can only spew venom. shame you..","[('there', 'EX'), ('is', 'VBZ'), ('no', 'DT'), ('vaccine', 'NN'), ('few', 'JJ'), ('viruses', 'NNS'), ('like', 'IN'), ('you', 'PRP'), ('amp', 'VBP'), ('your', 'PRP$'), ('anti', 'JJ'), ('national', 'JJ'), ('colleagues', 'NNS'), ('while', 'IN'), ('world', 'NN'), ('is', 'VBZ'), ('claiming', 'VBG'), ('india', 'NN'), ('i', 'NN'), ('benevolent', 'JJ'), ('contributions', 'NNS'), ('people', 'NNS'), ('like', 'IN'), ('you', 'PRP'), ('filled', 'VBP'), ('with', 'IN'), ('hatred', 'JJ'), ('amp', 'NN'), ('jealousy', 'NN'), ('are', 'VBP'), ('intolerant', 'JJ'), ('objectivity', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('only', 'RB'), ('spew', 'VB'), ('venom', 'NN'), ('shame', 'NN'), ('you', 'PRP'), ('i', 'VBP')]",ENGLISH,"['vaccine', 'virus', 'like', 'amp', 'anti', 'national', 'colleague', 'world', 'claim', 'india', 'benevolent', 'contribution', 'people', 'like', 'fill', 'hatred', 'amp', 'jealousy', 'intolerant', 'objectivity', 'spew', 'venom', 'shame']",vaccine virus like amp anti national colleague world claim india benevolent contribution people like fill hatred amp jealousy intolerant objectivity spew venom shame,"{'neg': 0.267, 'neu': 0.568, 'pos': 0.165, 'compound': -0.6597}",-0.6597,negative,,,,,,
57401,"people who support bjp, should be ashamed being quiet this. you are stupid anti national. they say, vaccine is limited supply, until july. then, why hell, they kept exporting it didn’t bjp govt had slogan nation first #vaccineforall","[('people', 'NNS'), ('who', 'WP'), ('support', 'VBP'), ('bop', 'NNS'), ('should', 'MD'), ('be', 'VB'), ('ashamed', 'VBN'), ('being', 'VBG'), ('quiet', 'JJ'), ('this', 'DT'), ('you', 'PRP'), ('are', 'VBP'), ('stupid', 'JJ'), ('anti', 'JJ'), ('national', 'JJ'), ('they', 'PRP'), ('say', 'VBP'), ('vaccine', 'NN'), ('is', 'VBZ'), ('limited', 'JJ'), ('supply', 'NN'), ('until', 'IN'), ('july', 'NNS'), ('then', 'RB'), ('why', 'WRB'), ('hell', 'NN'), ('they', 'PRP'), ('kept', 'VBD'), ('exporting', 'VBG'), ('it', 'PRP'), ('didn', 'JJ'), ('i', 'NN'), ('i', 'VBP'), ('bop', 'NN'), ('govt', 'NN'), ('had', 'VBD'), ('slogan', 'JJ'), ('nation', 'NN'), ('first', 'RB'), ('vaccineforall', 'NN')]",ENGLISH,"['people', 'support', 'bop', 'ashamed', 'quiet', 'stupid', 'anti', 'national', 'say', 'vaccine', 'limited', 'supply', 'july', 'hell', 'keep', 'export', 'bop', 'govt', 'slogan', 'nation', 'first', 'vaccineforall']",people support bop ashamed quiet stupid anti national say vaccine limited supply july hell keep export bop govt slogan nation first vaccineforall,"{'neg': 0.306, 'neu': 0.64, 'pos': 0.054, 'compound': -0.9118}",-0.9118,negative,,,,,,
