Text,pos_tagged_words,words_list,new_text,scores,compound,sentiment_vader
"great, me too back april. pfizer 2 shots","[('great', 'JJ'), ('me', 'PRP'), ('too', 'RB'), ('back', 'RB'), ('april', 'JJ'), ('pfizer', 'NN'), ('two', 'CD'), ('shots', 'NNS')]","['great', 'back', 'april', 'pfizer', 'two', 'shot']",great back april pfizer two shot,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.6249}",0.6249,positive
no side effects pfizer 2x it just felt like somebody punched me my right arm,"[('no', 'DT'), ('side', 'NN'), ('effects', 'NNS'), ('pfizer', 'VBP'), ('ex', 'VB'), ('it', 'PRP'), ('just', 'RB'), ('felt', 'VBD'), ('like', 'IN'), ('somebody', 'NN'), ('punched', 'VBD'), ('me', 'PRP'), ('my', 'PRP$'), ('right', 'JJ'), ('arm', 'NN')]","['side_effect', 'pfizer', 'feel', 'like', 'somebody', 'punch', 'right', 'arm']",side_effect pfizer feel like somebody punch right arm,"{'neg': 0.124, 'neu': 0.734, 'pos': 0.141, 'compound': 0.0772}",0.0772,negative
"i had 2 doses pfizer also, sore arm day was all i had","[('i', 'NN'), ('had', 'VBD'), ('two', 'CD'), ('doses', 'NNS'), ('pfizer', 'NN'), ('also', 'RB'), ('sore', 'VBD'), ('arm', 'JJ'), ('day', 'NN'), ('was', 'VBD'), ('all', 'DT'), ('i', 'NN'), ('had', 'VBD')]","['two', 'dose', 'pfizer', 'also', 'sore', 'arm', 'day']",two dose pfizer also sore arm day,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negative
aplicará #chile dosis de refuerzo vacunados con #sinovac - vía 😮 #astrazeneca mayores de 55 y #pfizer menores de 55. por lo visto son compatibles.,"[('chile', 'NN'), ('will', 'MD'), ('apply', 'VB'), ('booster', 'NN'), ('doses', 'NNS'), ('vaccinated', 'VBN'), ('with', 'IN'), ('sinovac', 'JJ'), ('via', 'IN'), ('astrazeneca', 'NN'), ('over', 'IN'), ('and', 'CC'), ('pfizer', 'VB'), ('under', 'IN'), ('apparently', 'RB'), ('they', 'PRP'), ('are', 'VBP'), ('compatible', 'JJ')]","['chile', 'apply', 'booster', 'dose', 'vaccinate', 'sinovac', 'via', 'astrazeneca', 'pfizer', 'apparently', 'compatible']",chile apply booster dose vaccinate sinovac via astrazeneca pfizer apparently compatible,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
¿mi primera dosis de pfizer me autoriza viajar o voy en covidiota pa saber 🙊,"[('does', 'VBZ'), ('my', 'PRP$'), ('first', 'JJ'), ('dose', 'NN'), ('of', 'IN'), ('pfizer', 'NN'), ('authorize', 'VB'), ('me', 'PRP'), ('to', 'TO'), ('travel', 'VB'), ('or', 'CC'), ('am', 'VBP'), ('i', 'JJ'), ('going', 'VBG'), ('to', 'TO'), ('covidiota', 'VB'), ('to', 'TO'), ('find', 'VB'), ('out', 'RP'), ('speak', 'JJ'), ('no', 'DT')]","['first', 'dose', 'pfizer', 'authorize', 'travel', 'go', 'covidiota', 'find', 'speak']",first dose pfizer authorize travel go covidiota find speak,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
my entire family had pfizer — all have severe health conditions — no one had anything more serious than brief headache.,"[('my', 'PRP$'), ('entire', 'JJ'), ('family', 'NN'), ('had', 'VBD'), ('pfizer', 'VBN'), ('i', 'RB'), ('all', 'DT'), ('have', 'VBP'), ('severe', 'JJ'), ('health', 'NN'), ('conditions', 'NNS'), ('i', 'VBP'), ('no', 'DT'), ('one', 'NN'), ('had', 'VBD'), ('anything', 'NN'), ('more', 'RBR'), ('serious', 'JJ'), ('than', 'IN'), ('brief', 'NN'), ('headache', 'NN')]","['entire', 'family', 'pfizer', 'severe', 'health', 'condition', 'one', 'anything', 'serious', 'brief', 'headache']",entire family pfizer severe health condition one anything serious brief headache,"{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.659}",-0.659,negative
i’m pfizer man vaccinated 💉,"[('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('pfizer', 'VBP'), ('man', 'NN'), ('vaccinated', 'VBD'), ('syringe', 'NN')]","['pfizer', 'man', 'vaccinated', 'syringe']",pfizer man vaccinated syringe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"our partners at are hosting community vaccination clinic this saturday 1-4pm at yemassee heights, 21 castle hall rd, yemassee. pfizer vaccine will be available anyone ages 12+. get your safe effective vaccine now","[('our', 'PRP$'), ('partners', 'NNS'), ('at', 'IN'), ('are', 'VBP'), ('hosting', 'VBG'), ('community', 'NN'), ('vaccination', 'NN'), ('clinic', 'NN'), ('this', 'DT'), ('saturday', 'NN'), ('one', 'CD'), ('up', 'NN'), ('at', 'IN'), ('yemassee', 'NNP'), ('heights', 'NNS'), ('twentynine', 'VBP'), ('castle', 'JJ'), ('hall', 'NN'), ('red', 'VBD'), ('yemassee', 'JJ'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('will', 'MD'), ('be', 'VB'), ('available', 'JJ'), ('anyone', 'NN'), ('ages', 'VBZ'), ('twelve', 'VBP'), ('i', 'JJ'), ('get', 'VBP'), ('your', 'PRP$'), ('safe', 'JJ'), ('effective', 'JJ'), ('vaccine', 'NN'), ('now', 'RB')]","['partner', 'host', 'community', 'vaccination', 'clinic', 'saturday', 'one', 'yemassee', 'heights', 'twentynine', 'castle', 'hall', 'red', 'yemassee', 'pfizer', 'vaccine', 'available', 'anyone', 'ages_twelve', 'get', 'safe', 'effective', 'vaccine']",partner host community vaccination clinic saturday one yemassee heights twentynine castle hall red yemassee pfizer vaccine available anyone ages_twelve get safe effective vaccine,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.7184}",0.7184,positive
"after doing some research today, i discovered pfizer is still recruiting their pediatric #covid19 vaccine studies. if you’re parent or know parent who would be interested enrolling their child:","[('after', 'IN'), ('doing', 'VBG'), ('some', 'DT'), ('research', 'NN'), ('today', 'NN'), ('i', 'VBP'), ('discovered', 'VBN'), ('pfizer', 'NN'), ('is', 'VBZ'), ('still', 'RB'), ('recruiting', 'VBG'), ('their', 'PRP$'), ('pediatric', 'JJ'), ('vaccine', 'NN'), ('studies', 'NNS'), ('if', 'IN'), ('you', 'PRP'), ('i', 'VBP'), ('re', 'JJ'), ('parent', 'NN'), ('or', 'CC'), ('know', 'VB'), ('parent', 'NN'), ('who', 'WP'), ('would', 'MD'), ('be', 'VB'), ('interested', 'JJ'), ('enrolling', 'VBG'), ('their', 'PRP$')]","['research', 'today', 'discover', 'pfizer', 'still', 'recruit', 'pediatric', 'vaccine', 'study', 'parent', 'know', 'parent', 'would', 'interested', 'enrolling']",research today discover pfizer still recruit pediatric vaccine study parent know parent would interested enrolling,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4019}",0.4019,positive
"i thought i was going get headache like i had when i had covid, but it never developed into full-blown headache. slight sore arm was extent 2nd pfizer shot discomfort.","[('i', 'NN'), ('thought', 'VBD'), ('i', 'NN'), ('was', 'VBD'), ('going', 'VBG'), ('get', 'NN'), ('headache', 'NN'), ('like', 'IN'), ('i', 'NN'), ('had', 'VBD'), ('when', 'WRB'), ('i', 'NN'), ('had', 'VBD'), ('covid', 'NNS'), ('but', 'CC'), ('it', 'PRP'), ('never', 'RB'), ('developed', 'VBD'), ('into', 'IN'), ('full', 'JJ'), ('blown', 'VBN'), ('headache', 'NN'), ('slight', 'NN'), ('sore', 'NN'), ('arm', 'NN'), ('was', 'VBD'), ('extent', 'JJ'), ('and', 'CC'), ('pfizer', 'NN'), ('shot', 'NN'), ('discomfort', 'NN')]","['think', 'go', 'get', 'headache', 'like', 'covid', 'never', 'develop', 'full_blown', 'headache', 'slight', 'sore', 'arm', 'extent', 'pfizer', 'shoot', 'discomfort']",think go get headache like covid never develop full_blown headache slight sore arm extent pfizer shoot discomfort,"{'neg': 0.219, 'neu': 0.726, 'pos': 0.055, 'compound': -0.7351}",-0.7351,negative
"do me good, pfizer protect boss lady, pfizer person who got it was j&amp;j, i do believe, fwiw. got back vacation 2 1/2 weeks ago. hmm.","[('do', 'VB'), ('me', 'PRP'), ('good', 'JJ'), ('pfizer', 'NN'), ('protect', 'VBP'), ('boss', 'IN'), ('lady', 'JJ'), ('pfizer', 'NN'), ('person', 'NN'), ('who', 'WP'), ('got', 'VBD'), ('it', 'PRP'), ('was', 'VBD'), ('i', 'JJ'), ('amp', 'VBP'), ('i', 'NN'), ('i', 'VBP'), ('do', 'VBP'), ('believe', 'VB'), ('few', 'JJ'), ('got', 'NNS'), ('back', 'RB'), ('vacation', 'NN'), ('two', 'CD'), ('one', 'CD'), ('two', 'CD'), ('weeks', 'NNS'), ('ago', 'IN'), ('him', 'PRP')]","['good', 'pfizer', 'protect', 'boss', 'lady', 'pfizer', 'person', 'get', 'amp', 'believe', 'get', 'back', 'vacation', 'two', 'one', 'two', 'week', 'ago']",good pfizer protect boss lady pfizer person get amp believe get back vacation two one two week ago,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6705}",0.6705,positive
"every day, there’s tons news stories pfizer vaccine. really wish there was more data news johnson &amp; johnson vaccine. you know, one i got.","[('every', 'DT'), ('day', 'NN'), ('there', 'EX'), ('i', 'NN'), ('i', 'VBP'), ('tons', 'NNS'), ('news', 'NN'), ('stories', 'NNS'), ('pfizer', 'VBP'), ('vaccine', 'NN'), ('really', 'RB'), ('wish', 'JJ'), ('there', 'EX'), ('was', 'VBD'), ('more', 'JJR'), ('data', 'NNS'), ('news', 'NN'), ('johnson', 'NN'), ('amp', 'IN'), ('johnson', 'NN'), ('vaccine', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('one', 'CD'), ('i', 'NN'), ('got', 'VBD')]","['every', 'day', 'ton', 'news', 'story', 'pfizer', 'vaccine', 'really', 'wish', 'data', 'news', 'johnson', 'amp', 'johnson', 'vaccine', 'know', 'one', 'get']",every day ton news story pfizer vaccine really wish data news johnson amp johnson vaccine know one get,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.4576}",0.4576,positive
i got #pfizer first round. booster do i get it again or #moderna i rolled dice 🎲 🎲 got moderna 3rd shot. “we're all mad here”,"[('i', 'NN'), ('got', 'VBD'), ('pfizer', 'RB'), ('first', 'JJ'), ('round', 'NN'), ('booster', 'NN'), ('do', 'VBP'), ('i', 'VB'), ('get', 'VB'), ('it', 'PRP'), ('again', 'RB'), ('or', 'CC'), ('modern', 'JJ'), ('i', 'NN'), ('rolled', 'VBD'), ('dice', 'NN'), ('got', 'VBD'), ('modern', 'JJ'), ('ord', 'IN'), ('shot', 'NN'), ('i', 'NN'), ('we', 'PRP'), ('re', 'VBP'), ('all', 'DT'), ('mad', 'NN'), ('here', 'RB'), ('i', 'VB')]","['get', 'pfizer', 'first', 'round', 'booster', 'get', 'modern', 'roll', 'dice', 'get', 'modern', 'ord', 'shoot', 'mad']",get pfizer first round booster get modern roll dice get modern ord shoot mad,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.4939}",-0.4939,positive
i was slightly tired twenty four hours after my second pfizer. sleeping only 5 or 6 previous 48 hours because call probably had greater impact than mrna lipid particles but i’m just guessing here,"[('i', 'NN'), ('was', 'VBD'), ('slightly', 'RB'), ('tired', 'JJ'), ('twenty', 'RB'), ('four', 'CD'), ('hours', 'NNS'), ('after', 'IN'), ('my', 'PRP$'), ('second', 'JJ'), ('pfizer', 'NN'), ('sleeping', 'VBG'), ('only', 'RB'), ('five', 'CD'), ('or', 'CC'), ('six', 'CD'), ('previous', 'JJ'), ('hours', 'NNS'), ('because', 'IN'), ('call', 'NN'), ('probably', 'RB'), ('had', 'VBD'), ('greater', 'JJR'), ('impact', 'NN'), ('than', 'IN'), ('mrna', 'FW'), ('lipid', 'JJ'), ('particles', 'NNS'), ('but', 'CC'), ('i', 'VBP'), ('i', 'VBP'), ('i', 'NN'), ('just', 'RB'), ('guessing', 'VBG'), ('here', 'RB')]","['slightly', 'tired', 'twenty', 'four', 'hour', 'second', 'pfizer', 'sleep', 'five', 'previous', 'hour', 'call', 'probably', 'great', 'impact', 'lipid', 'particle', 'guess']",slightly tired twenty four hour second pfizer sleep five previous hour call probably great impact lipid particle guess,"{'neg': 0.055, 'neu': 0.891, 'pos': 0.054, 'compound': -0.0138}",-0.0138,negative
"my son was sept/oct 2020 pfizer trial is currently one 10,000 worldwide who are booster trial. he had booster few weeks ago, they have done regular blood work last 11 months.","[('my', 'PRP$'), ('son', 'NN'), ('was', 'VBD'), ('sept', 'JJ'), ('oct', 'JJ'), ('pfizer', 'NN'), ('trial', 'NN'), ('is', 'VBZ'), ('currently', 'RB'), ('one', 'CD'), ('ten', 'NN'), ('zero', 'CD'), ('worldwide', 'NN'), ('who', 'WP'), ('are', 'VBP'), ('booster', 'JJ'), ('trial', 'NN'), ('he', 'PRP'), ('had', 'VBD'), ('booster', 'RB'), ('few', 'JJ'), ('weeks', 'NNS'), ('ago', 'IN'), ('they', 'PRP'), ('have', 'VBP'), ('done', 'VBN'), ('regular', 'JJ'), ('blood', 'NN'), ('work', 'NN'), ('last', 'JJ'), ('eleven', 'JJ'), ('months', 'NNS')]","['son', 'sept', 'oct', 'pfizer', 'trial', 'currently', 'one', 'ten', 'zero', 'worldwide', 'booster', 'trial', 'booster', 'week', 'ago', 'do', 'regular', 'blood', 'work', 'last', 'eleven', 'month']",son sept oct pfizer trial currently one ten zero worldwide booster trial booster week ago do regular blood work last eleven month,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"welcome team pfizer, kiddo.","[('welcome', 'JJ'), ('team', 'NN'), ('pfizer', 'NN'), ('kiddo', 'NN')]","['welcome', 'team', 'pfizer', 'kiddo']",welcome team pfizer kiddo,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,positive
pfizer here also,"[('pfizer', 'NN'), ('here', 'RB'), ('also', 'RB')]","['pfizer', 'also']",pfizer also,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
2 pfizer 💉 yay me 🎉,"[('two', 'CD'), ('pfizer', 'NN'), ('syringe', 'NN'), ('yay', 'IN'), ('me', 'PRP')]","['two', 'pfizer', 'syringe', 'yay']",two pfizer syringe yay,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.5267}",0.5267,positive
"my fully vaccinated niece pfizer x2 caught delta variant biz trip birmingham, al. b4 she was symptomatic, she flew home dc. she had some aches, sore throat fever one day &amp; lingering loss taste/smell.","[('my', 'PRP$'), ('fully', 'RB'), ('vaccinated', 'VBN'), ('niece', 'JJ'), ('pfizer', 'NN'), ('xu', 'NNP'), ('caught', 'VBD'), ('delta', 'JJ'), ('variant', 'JJ'), ('biz', 'NN'), ('trip', 'NN'), ('birmingham', 'NN'), ('al', 'NN'), ('be', 'VB'), ('she', 'PRP'), ('was', 'VBD'), ('symptomatic', 'JJ'), ('she', 'PRP'), ('flew', 'VBD'), ('home', 'NN'), ('do', 'VB'), ('she', 'PRP'), ('had', 'VBD'), ('some', 'DT'), ('aches', 'NNS'), ('sore', 'VBP'), ('throat', 'NN'), ('fever', 'NN'), ('one', 'CD'), ('day', 'NN'), ('amp', 'VB'), ('lingering', 'JJ'), ('loss', 'NN'), ('taste', 'NN'), ('smell', 'NN')]","['fully', 'vaccinated', 'niece', 'pfizer', 'catch', 'delta_variant', 'trip', 'birmingham', 'al', 'symptomatic', 'fly', 'home', 'ache', 'sore', 'throat', 'fever', 'one', 'day', 'amp', 'linger', 'loss', 'taste_smell']",fully vaccinated niece pfizer catch delta_variant trip birmingham al symptomatic fly home ache sore throat fever one day amp linger loss taste_smell,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.7003}",-0.7003,negative
available one. i got pfizer but whatever is available.,"[('available', 'JJ'), ('one', 'CD'), ('i', 'NN'), ('got', 'VBD'), ('pfizer', 'RB'), ('but', 'CC'), ('whatever', 'WDT'), ('is', 'VBZ'), ('available', 'JJ')]","['available', 'one', 'get', 'pfizer', 'whatever', 'available']",available one get pfizer whatever available,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
double vaccinated with pfizer march/april.,"[('double', 'RB'), ('vaccinated', 'VBN'), ('with', 'IN'), ('pfizer', 'NN'), ('march', 'NN'), ('april', 'NN')]","['double', 'vaccinated', 'pfizer', 'march', 'april']",double vaccinated pfizer march april,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
donc le moderna est plus durable que le pfizer,"[('so', 'RB'), ('the', 'DT'), ('modern', 'JJ'), ('is', 'VBZ'), ('more', 'RBR'), ('durable', 'JJ'), ('than', 'IN'), ('the', 'DT'), ('pfizer', 'NN')]","['modern', 'durable', 'pfizer']",modern durable pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"not necessarily, but not being aware that ceo pfizer didn’t feel sense urgency get vax is…","[('not', 'RB'), ('necessarily', 'RB'), ('but', 'CC'), ('not', 'RB'), ('being', 'VBG'), ('aware', 'JJ'), ('that', 'IN'), ('ceo', 'NN'), ('pfizer', 'NN'), ('didn', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('feel', 'VBP'), ('sense', 'NN'), ('urgency', 'NN'), ('get', 'VB'), ('van', 'NN'), ('is', 'VBZ'), ('i', 'JJ')]","['not', 'necessarily', 'not', 'aware', 'ceo', 'pfizer', 'feel', 'sense', 'urgency', 'get', 'van']",not necessarily not aware ceo pfizer feel sense urgency get van,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
pfizer is definitely what cody i will eventually get.,"[('pfizer', 'NN'), ('is', 'VBZ'), ('definitely', 'RB'), ('what', 'WP'), ('cody', 'NN'), ('i', 'NN'), ('will', 'MD'), ('eventually', 'RB'), ('get', 'VB')]","['pfizer', 'definitely', 'cody', 'eventually', 'get']",pfizer definitely cody eventually get,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,positive
"vaccinated sun, pfizer rising, please mask up stay 6 feet away me moon","[('vaccinated', 'VBN'), ('sun', 'JJ'), ('pfizer', 'NN'), ('rising', 'VBG'), ('please', 'NN'), ('mask', 'VB'), ('up', 'RP'), ('stay', 'JJ'), ('six', 'CD'), ('feet', 'NNS'), ('away', 'RB'), ('me', 'PRP'), ('moon', 'VBP')]","['vaccinated', 'sun', 'pfizer', 'rise', 'please', 'mask', 'stay', 'foot', 'away', 'moon']",vaccinated sun pfizer rise please mask stay foot away moon,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.3182}",0.3182,positive
ceo pfizer didn't take it. what does that say,"[('ceo', 'NN'), ('pfizer', 'NN'), ('didn', 'NN'), ('i', 'NNS'), ('take', 'VBP'), ('it', 'PRP'), ('what', 'WDT'), ('does', 'VBZ'), ('that', 'IN'), ('say', 'VB')]","['ceo', 'pfizer', 'take', 'say']",ceo pfizer take say,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,negative
